Time,Windows 8 - Carnival TVC - TS,Windows 8 - Carnival TVC - TS,Windows 8 - Carnival TVC - TS,Windows 8 - Carnival TVC - TS,Windows 8 - Carnival TVC - TS,Windows 8 - Carnival TVC - TS,Windows 8 - Carnival TVC - TS,Windows 8 - Carnival TVC - TS,Windows 8 - Carnival TVC - TS,Windows 8 - Carnival TVC - TS,Windows 8 - Carnival TVC - TS,Windows 8 - Carnival TVC - TS
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1613,0.5493,0.6847,0.5717,0.5556,0.5636,0.6452,0.6325,0.6388,0.7545,0.6762,0.7154
0.1,0.1692,0.5522,0.6806,0.568,0.5538,0.5609,0.6463,0.6271,0.6367,0.753,0.6753,0.7142
0.2,0.1774,0.5559,0.6768,0.5658,0.5534,0.5596,0.6485,0.6224,0.6354,0.751,0.6749,0.7129
0.3,0.1854,0.5599,0.6732,0.565,0.5543,0.5596,0.6513,0.6182,0.6348,0.7483,0.6748,0.7116
0.4,0.1926,0.5636,0.6703,0.5651,0.5564,0.5608,0.6547,0.6148,0.6348,0.745,0.6756,0.7103
0.5,0.1991,0.567,0.6682,0.5666,0.5597,0.5632,0.6592,0.6127,0.6359,0.7416,0.6776,0.7096
0.6,0.2046,0.5699,0.6673,0.5696,0.5646,0.5671,0.665,0.6123,0.6386,0.7386,0.681,0.7098
0.7,0.2094,0.5722,0.6676,0.5742,0.5711,0.5727,0.6722,0.614,0.6431,0.7364,0.6858,0.7111
0.8,0.2137,0.5738,0.6687,0.58,0.579,0.5795,0.6807,0.6175,0.6491,0.7352,0.6917,0.7135
0.9,0.2176,0.5745,0.6704,0.5867,0.588,0.5873,0.6898,0.6225,0.6561,0.735,0.6984,0.7167
1,0.2212,0.5739,0.6729,0.5941,0.5975,0.5958,0.6992,0.6288,0.664,0.7355,0.7053,0.7204
1.1,0.2245,0.5722,0.676,0.6022,0.6074,0.6048,0.7086,0.6363,0.6724,0.7367,0.7122,0.7244
1.2,0.2265,0.5695,0.6797,0.6109,0.6177,0.6143,0.7173,0.6447,0.681,0.7383,0.719,0.7287
1.3,0.2261,0.5658,0.6839,0.6198,0.6281,0.6239,0.7247,0.6536,0.6892,0.74,0.7254,0.7327
1.4,0.223,0.561,0.6882,0.6279,0.6379,0.6329,0.7304,0.6623,0.6963,0.7411,0.7309,0.736
1.5,0.2175,0.5549,0.6923,0.6343,0.6464,0.6404,0.7339,0.6699,0.7019,0.7415,0.7354,0.7384
1.6,0.2097,0.5475,0.6961,0.6382,0.653,0.6456,0.7353,0.6761,0.7057,0.7411,0.739,0.7401
1.7,0.1998,0.539,0.6993,0.6393,0.6574,0.6483,0.7348,0.6807,0.7077,0.7402,0.7419,0.7411
1.8,0.1874,0.5296,0.7018,0.6379,0.6594,0.6486,0.7326,0.6837,0.7081,0.7387,0.7442,0.7414
1.9,0.1721,0.5196,0.7031,0.6345,0.6588,0.6467,0.7287,0.6847,0.7067,0.7363,0.7454,0.7409
2,0.1533,0.5094,0.7028,0.6292,0.6555,0.6423,0.7233,0.6836,0.7034,0.7326,0.7457,0.7391
2.1,0.1314,0.4992,0.7008,0.6222,0.6493,0.6357,0.7164,0.6804,0.6984,0.7274,0.7452,0.7363
2.2,0.1066,0.4893,0.6969,0.6135,0.6404,0.6269,0.7083,0.6753,0.6918,0.7207,0.7443,0.7325
2.3,0.0799,0.4799,0.6914,0.6037,0.6296,0.6166,0.6993,0.6688,0.684,0.7129,0.743,0.7279
2.4,0.0522,0.4715,0.685,0.5936,0.6181,0.6058,0.69,0.6617,0.6758,0.7043,0.7415,0.7229
2.5,0.024,0.4647,0.6782,0.5837,0.6071,0.5954,0.681,0.6547,0.6678,0.6953,0.7402,0.7178
2.6,-0.0042,0.4594,0.6716,0.574,0.5971,0.5856,0.6723,0.6478,0.6601,0.6863,0.7392,0.7128
2.7,-0.0315,0.4555,0.6655,0.5641,0.5886,0.5763,0.6639,0.6413,0.6526,0.6773,0.7386,0.7079
2.8,-0.0569,0.4525,0.6603,0.5533,0.5816,0.5675,0.6555,0.6349,0.6452,0.6681,0.738,0.7031
2.9,-0.0791,0.4501,0.6558,0.5417,0.5761,0.5589,0.647,0.6288,0.6379,0.6591,0.7372,0.6982
3,-0.0968,0.4482,0.6518,0.5295,0.572,0.5508,0.6389,0.6229,0.6309,0.6508,0.736,0.6934
3.1,-0.1097,0.447,0.6481,0.5175,0.5695,0.5435,0.6312,0.6173,0.6243,0.6434,0.7345,0.6889
