Time,2degrees Unlimited 30 TVC,2degrees Unlimited 30 TVC,2degrees Unlimited 30 TVC,2degrees Unlimited 30 TVC,2degrees Unlimited 30 TVC,2degrees Unlimited 30 TVC,2degrees Unlimited 30 TVC,2degrees Unlimited 30 TVC,2degrees Unlimited 30 TVC,2degrees Unlimited 30 TVC,2degrees Unlimited 30 TVC,2degrees Unlimited 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.7476,0.4322,0.3334,0.7389,0.3422,0.5405,0.5868,0.4611,0.5239,0.5315,0.4746,0.5031
0.1,0.7844,0.4488,0.3279,0.7476,0.3567,0.5521,0.6001,0.4573,0.5287,0.551,0.4793,0.5152
0.2,0.7989,0.47,0.3282,0.7521,0.3778,0.5649,0.6166,0.4568,0.5367,0.5711,0.4874,0.5292
0.3,0.7917,0.4945,0.335,0.7523,0.4045,0.5784,0.6353,0.4602,0.5477,0.5915,0.4989,0.5452
0.4,0.7657,0.52,0.3488,0.7484,0.435,0.5917,0.6552,0.468,0.5616,0.6117,0.5136,0.5626
0.5,0.7254,0.5438,0.3698,0.7406,0.466,0.6033,0.6761,0.4801,0.5781,0.6312,0.5311,0.5812
0.6,0.6754,0.5636,0.3977,0.7294,0.4944,0.6119,0.6979,0.4958,0.5968,0.65,0.5515,0.6008
0.7,0.6197,0.5781,0.4314,0.7149,0.5177,0.6163,0.7199,0.5148,0.6174,0.6681,0.5747,0.6214
0.8,0.5613,0.587,0.4696,0.6973,0.5351,0.6162,0.7417,0.5368,0.6392,0.6856,0.6001,0.6429
0.9,0.5026,0.5904,0.5107,0.6771,0.5474,0.6123,0.7619,0.5612,0.6615,0.7019,0.6271,0.6645
1,0.4455,0.5887,0.5527,0.6549,0.5556,0.6052,0.7792,0.586,0.6826,0.7166,0.6544,0.6855
1.1,0.3915,0.5825,0.5932,0.6311,0.5606,0.5958,0.7924,0.6093,0.7009,0.7289,0.6802,0.7045
1.2,0.341,0.5726,0.6303,0.606,0.5633,0.5846,0.8011,0.63,0.7155,0.7381,0.7026,0.7204
1.3,0.294,0.5598,0.6635,0.5801,0.5647,0.5724,0.8053,0.6481,0.7267,0.7438,0.7201,0.732
1.4,0.2502,0.5449,0.6925,0.5537,0.5657,0.5597,0.8051,0.6642,0.7347,0.7457,0.7321,0.7389
1.5,0.2092,0.5284,0.7171,0.5268,0.5666,0.5467,0.8006,0.6784,0.7395,0.7438,0.7389,0.7413
1.6,0.1711,0.5109,0.7371,0.5,0.5674,0.5337,0.7922,0.6906,0.7414,0.7388,0.7409,0.7398
1.7,0.1363,0.4934,0.7519,0.4737,0.5685,0.5211,0.7803,0.7002,0.7403,0.731,0.7389,0.735
1.8,0.106,0.477,0.7614,0.4485,0.5702,0.5094,0.7652,0.7067,0.736,0.7208,0.7328,0.7268
1.9,0.0809,0.4625,0.766,0.4244,0.5729,0.4986,0.7473,0.7098,0.7285,0.7081,0.7223,0.7152
2,0.0608,0.4503,0.7662,0.4017,0.5768,0.4892,0.7263,0.7096,0.718,0.6927,0.707,0.6999
2.1,0.0448,0.4403,0.7625,0.3804,0.5825,0.4814,0.7027,0.7067,0.7047,0.6742,0.6871,0.6807
2.2,0.0324,0.4328,0.7556,0.361,0.5912,0.4761,0.6777,0.7017,0.6897,0.6526,0.6631,0.6579
2.3,0.0237,0.4288,0.7458,0.3442,0.6038,0.474,0.6531,0.6952,0.6741,0.6284,0.6359,0.6322
2.4,0.0198,0.4295,0.7332,0.3311,0.6212,0.4761,0.6305,0.688,0.6592,0.6026,0.6063,0.6045
2.5,0.0215,0.4358,0.7182,0.3229,0.6441,0.4835,0.6108,0.6808,0.6458,0.5766,0.5756,0.5761
2.6,0.0289,0.4482,0.7012,0.3204,0.6727,0.4966,0.594,0.6745,0.6342,0.5518,0.5448,0.5483
2.7,0.0419,0.4662,0.6824,0.3236,0.7062,0.5149,0.5798,0.6691,0.6245,0.5293,0.5148,0.5221
2.8,0.0592,0.4891,0.6621,0.3318,0.7423,0.537,0.5682,0.6645,0.6163,0.5096,0.4859,0.4977
2.9,0.0795,0.516,0.6406,0.3435,0.7783,0.5609,0.5587,0.6607,0.6097,0.4929,0.4581,0.4755
3,0.1014,0.5451,0.618,0.3572,0.8117,0.5844,0.5509,0.6572,0.6041,0.4796,0.432,0.4558
3.1,0.1242,0.5746,0.5946,0.3711,0.8406,0.6058,0.5442,0.6539,0.599,0.4705,0.4087,0.4396
3.2,0.1476,0.6029,0.5715,0.3838,0.864,0.6239,0.5384,0.6507,0.5945,0.4669,0.3896,0.4282
3.3,0.1707,0.6293,0.5494,0.3943,0.8821,0.6382,0.5341,0.6472,0.5906,0.4695,0.3757,0.4226
3.4,0.1926,0.6533,0.5289,0.4023,0.8956,0.6489,0.5317,0.6432,0.5875,0.4786,0.3671,0.4229
3.5,0.2123,0.6742,0.5106,0.4074,0.9048,0.6561,0.5306,0.6388,0.5847,0.4936,0.3636,0.4286
3.6,0.2301,0.6901,0.4945,0.409,0.9087,0.6588,0.5297,0.6335,0.5816,0.5137,0.3643,0.439
3.7,0.2471,0.6992,0.481,0.4065,0.9054,0.6559,0.5284,0.6266,0.5775,0.5379,0.3685,0.4532
3.8,0.2637,0.7012,0.471,0.4002,0.8945,0.6473,0.5267,0.618,0.5723,0.5656,0.3762,0.4709
3.9,0.2792,0.6973,0.4653,0.3917,0.8772,0.6344,0.525,0.6079,0.5664,0.5964,0.3874,0.4919
4,0.2928,0.6893,0.465,0.3827,0.8558,0.6192,0.5235,0.5968,0.5601,0.6292,0.4021,0.5156
