Time,AirBnB - Cannonball 30 TVC,AirBnB - Cannonball 30 TVC,AirBnB - Cannonball 30 TVC,AirBnB - Cannonball 30 TVC,AirBnB - Cannonball 30 TVC,AirBnB - Cannonball 30 TVC,AirBnB - Cannonball 30 TVC,AirBnB - Cannonball 30 TVC,AirBnB - Cannonball 30 TVC,AirBnB - Cannonball 30 TVC,AirBnB - Cannonball 30 TVC,AirBnB - Cannonball 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1684,0.7629,0.6387,0.8971,0.6885,0.7928,0.7179,0.5237,0.6208,0.5626,0.4206,0.4916
0.1,-0.1698,0.7538,0.6368,0.8794,0.6795,0.7795,0.7097,0.5007,0.6052,0.5509,0.4106,0.4807
0.2,-0.1706,0.7421,0.6382,0.8586,0.668,0.7633,0.7033,0.479,0.5911,0.5438,0.4019,0.4728
0.3,-0.1698,0.7288,0.6427,0.8356,0.6545,0.745,0.6978,0.4587,0.5782,0.5407,0.395,0.4679
0.4,-0.1677,0.7148,0.6505,0.8114,0.6399,0.7257,0.6931,0.4406,0.5668,0.5418,0.3908,0.4663
0.5,-0.1663,0.7003,0.6622,0.7874,0.6257,0.7065,0.6902,0.4262,0.5582,0.5471,0.3897,0.4684
0.6,-0.1668,0.6855,0.6782,0.7639,0.613,0.6885,0.6898,0.4174,0.5536,0.5558,0.392,0.4739
0.7,-0.1692,0.6708,0.6984,0.7415,0.6032,0.6724,0.6923,0.4145,0.5534,0.5667,0.3979,0.4823
0.8,-0.1731,0.6566,0.7223,0.7205,0.597,0.6588,0.6972,0.4173,0.5573,0.5789,0.407,0.4929
0.9,-0.1787,0.6438,0.7491,0.7013,0.5945,0.6479,0.7041,0.4254,0.5647,0.5918,0.4191,0.5055
1,-0.1876,0.6326,0.7787,0.6835,0.5951,0.6393,0.7119,0.4393,0.5756,0.6059,0.434,0.5199
1.1,-0.2021,0.6233,0.8104,0.6664,0.598,0.6322,0.7198,0.4593,0.5896,0.6214,0.4515,0.5364
1.2,-0.2237,0.6162,0.8431,0.6492,0.6025,0.6258,0.7267,0.4853,0.606,0.6381,0.4712,0.5547
1.3,-0.2508,0.6116,0.8756,0.6315,0.6086,0.6201,0.7318,0.5168,0.6243,0.6558,0.4926,0.5742
1.4,-0.2806,0.6101,0.9069,0.6137,0.6168,0.6153,0.7349,0.5527,0.6438,0.6752,0.5151,0.5951
1.5,-0.3104,0.6115,0.9361,0.5971,0.6267,0.6119,0.7361,0.5915,0.6638,0.6973,0.5385,0.6179
1.6,-0.3375,0.6157,0.963,0.5829,0.638,0.6104,0.7358,0.6313,0.6836,0.7229,0.563,0.6429
1.7,-0.3599,0.6223,0.9879,0.5719,0.6502,0.611,0.7342,0.6711,0.7027,0.7512,0.5879,0.6695
1.8,-0.376,0.631,1.0116,0.5639,0.6636,0.6138,0.7316,0.7098,0.7207,0.7806,0.6121,0.6964
1.9,-0.3846,0.6425,1.0344,0.5591,0.6784,0.6188,0.7286,0.7466,0.7376,0.8096,0.6345,0.7221
2,-0.3848,0.6577,1.0558,0.5581,0.6948,0.6264,0.726,0.7807,0.7534,0.8365,0.6545,0.7455
2.1,-0.3768,0.6774,1.0748,0.5617,0.7124,0.637,0.7245,0.8113,0.7679,0.8598,0.6718,0.7658
2.2,-0.3616,0.7017,1.0909,0.5701,0.7312,0.6506,0.7241,0.8373,0.7807,0.8788,0.6862,0.7825
2.3,-0.3403,0.7298,1.1033,0.5831,0.7512,0.6671,0.7248,0.8577,0.7913,0.8922,0.6975,0.7948
2.4,-0.3137,0.7606,1.1116,0.5998,0.772,0.6859,0.7263,0.8719,0.7991,0.8991,0.7057,0.8024
2.5,-0.2822,0.7927,1.1157,0.6193,0.7928,0.7061,0.729,0.8799,0.8044,0.8997,0.7112,0.8054
2.6,-0.2442,0.8248,1.1156,0.641,0.8121,0.7265,0.7329,0.8822,0.8076,0.8949,0.715,0.805
2.7,-0.1991,0.856,1.1116,0.6645,0.8294,0.747,0.7386,0.8796,0.8091,0.8865,0.718,0.8022
2.8,-0.148,0.8859,1.1045,0.69,0.8457,0.7678,0.7463,0.8729,0.8096,0.8757,0.7208,0.7983
2.9,-0.0943,0.9149,1.0947,0.717,0.8627,0.7898,0.7565,0.8631,0.8098,0.8633,0.7235,0.7934
3,-0.0413,0.9434,1.0829,0.7455,0.8815,0.8135,0.7701,0.8513,0.8107,0.8496,0.7259,0.7877
3.1,0.0087,0.9712,1.0699,0.7753,0.9036,0.8394,0.7876,0.8391,0.8134,0.8358,0.7275,0.7817
3.2,0.0544,0.9978,1.0564,0.8068,0.9301,0.8685,0.8096,0.8272,0.8184,0.8237,0.7283,0.776
3.3,0.0955,1.0233,1.0428,0.8407,0.9602,0.9005,0.8355,0.8161,0.8258,0.8144,0.7285,0.7714
3.4,0.1323,1.0478,1.0287,0.8773,0.9921,0.9347,0.8642,0.8062,0.8352,0.8082,0.7278,0.768
3.5,0.1639,1.0712,1.0132,0.9162,1.0239,0.97,0.8935,0.7971,0.8453,0.8045,0.7265,0.7655
3.6,0.1889,1.0934,0.9958,0.9565,1.0544,1.0054,0.9211,0.7882,0.8547,0.8029,0.7251,0.764
3.7,0.2066,1.1139,0.9761,0.9968,1.0824,1.0396,0.9457,0.7789,0.8623,0.8032,0.7245,0.7639
3.8,0.2166,1.1318,0.9545,1.0354,1.1065,1.0709,0.9663,0.7689,0.8676,0.8052,0.7255,0.7653
3.9,0.2198,1.1466,0.9325,1.0702,1.1256,1.0979,0.9825,0.7587,0.8706,0.8083,0.7287,0.7685
4,0.2172,1.1585,0.9114,1.0995,1.1394,1.1195,0.9937,0.7488,0.8712,0.8125,0.7347,0.7736
4.1,0.2094,1.1679,0.8919,1.1226,1.1479,1.1353,0.9993,0.7386,0.8689,0.8179,0.7436,0.7807
