Time,Woolworths 30 TVC - TS,Woolworths 30 TVC - TS,Woolworths 30 TVC - TS,Woolworths 30 TVC - TS,Woolworths 30 TVC - TS,Woolworths 30 TVC - TS,Woolworths 30 TVC - TS,Woolworths 30 TVC - TS,Woolworths 30 TVC - TS,Woolworths 30 TVC - TS,Woolworths 30 TVC - TS,Woolworths 30 TVC - TS
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.2309,0.7372,0.6825,0.7887,0.7205,0.7546,0.7277,0.6781,0.7029,0.6312,0.6385,0.6348
0.1,0.2378,0.7288,0.6831,0.7762,0.7186,0.7474,0.7195,0.675,0.6973,0.6308,0.6421,0.6364
0.2,0.2412,0.7194,0.6824,0.7605,0.7147,0.7376,0.7115,0.6721,0.6918,0.632,0.6458,0.6389
0.3,0.2409,0.7088,0.6802,0.742,0.7088,0.7254,0.7039,0.6693,0.6866,0.6343,0.6491,0.6417
0.4,0.2369,0.6975,0.6765,0.7212,0.7009,0.711,0.6967,0.6666,0.6817,0.6375,0.6516,0.6445
0.5,0.2292,0.6858,0.6714,0.6992,0.6913,0.6952,0.6902,0.6641,0.6772,0.6415,0.653,0.6472
0.6,0.2182,0.674,0.665,0.6769,0.6801,0.6785,0.6845,0.6617,0.6731,0.6461,0.6531,0.6496
0.7,0.2045,0.6621,0.657,0.6546,0.6674,0.661,0.6792,0.6591,0.6692,0.651,0.6518,0.6514
0.8,0.1887,0.6502,0.6471,0.6325,0.6531,0.6428,0.6742,0.656,0.6651,0.6555,0.6486,0.6521
0.9,0.1708,0.6382,0.6352,0.6105,0.6371,0.6238,0.6689,0.6521,0.6605,0.659,0.6435,0.6513
1,0.1507,0.6265,0.6213,0.5892,0.6198,0.6045,0.6632,0.6474,0.6553,0.6612,0.6364,0.6488
1.1,0.1285,0.6154,0.6059,0.5692,0.6016,0.5854,0.6572,0.6422,0.6497,0.6622,0.6277,0.6449
1.2,0.105,0.6053,0.5895,0.5513,0.583,0.5671,0.6511,0.6366,0.6438,0.662,0.6179,0.64
1.3,0.0816,0.5962,0.5728,0.5356,0.5644,0.55,0.6448,0.6308,0.6378,0.661,0.6077,0.6344
1.4,0.0588,0.5879,0.5562,0.522,0.5463,0.5341,0.6384,0.6248,0.6316,0.659,0.5975,0.6282
1.5,0.0368,0.5803,0.5401,0.5103,0.529,0.5196,0.6314,0.6181,0.6248,0.6559,0.587,0.6215
