Time,AAMI - Bargain Regret Christmas Lights 30 TVC,AAMI - Bargain Regret Christmas Lights 30 TVC,AAMI - Bargain Regret Christmas Lights 30 TVC,AAMI - Bargain Regret Christmas Lights 30 TVC,AAMI - Bargain Regret Christmas Lights 30 TVC,AAMI - Bargain Regret Christmas Lights 30 TVC,AAMI - Bargain Regret Christmas Lights 30 TVC,AAMI - Bargain Regret Christmas Lights 30 TVC,AAMI - Bargain Regret Christmas Lights 30 TVC,AAMI - Bargain Regret Christmas Lights 30 TVC,AAMI - Bargain Regret Christmas Lights 30 TVC,AAMI - Bargain Regret Christmas Lights 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.105,0.7699,0.5203,0.5306,0.5347,0.5326,0.301,0.1693,0.2352,0.5198,0.5186,0.5192
0.1,-0.0754,0.7854,0.5351,0.5388,0.5468,0.5428,0.3074,0.1742,0.2408,0.5121,0.5324,0.5222
0.2,-0.0487,0.7963,0.5522,0.5446,0.5535,0.549,0.3145,0.1798,0.2472,0.5064,0.5465,0.5265
0.3,-0.0246,0.8021,0.5715,0.5482,0.5539,0.5511,0.323,0.1859,0.2544,0.5037,0.5611,0.5324
0.4,-0.0017,0.802,0.5925,0.5487,0.5474,0.5481,0.3325,0.1933,0.2629,0.5047,0.5754,0.54
0.5,0.0217,0.7951,0.6144,0.5452,0.5335,0.5393,0.3425,0.2026,0.2726,0.5087,0.5888,0.5487
0.6,0.0467,0.7813,0.6364,0.5374,0.5123,0.5248,0.3521,0.2147,0.2834,0.515,0.6008,0.5579
0.7,0.0735,0.7614,0.6577,0.5258,0.4847,0.5052,0.3608,0.2296,0.2952,0.5233,0.6114,0.5673
0.8,0.1006,0.7369,0.6772,0.5112,0.4522,0.4817,0.3687,0.2466,0.3077,0.5335,0.6207,0.5771
0.9,0.1256,0.7098,0.6941,0.495,0.4168,0.4559,0.3767,0.2653,0.321,0.5456,0.6285,0.5871
1,0.1467,0.6816,0.7075,0.4783,0.3807,0.4295,0.3853,0.2854,0.3353,0.5591,0.6348,0.5969
1.1,0.1617,0.6534,0.7167,0.462,0.3458,0.4039,0.3945,0.3066,0.3505,0.5733,0.6395,0.6064
1.2,0.1689,0.6261,0.7213,0.4462,0.3133,0.3797,0.4039,0.3284,0.3662,0.5882,0.6425,0.6153
1.3,0.1669,0.6005,0.7214,0.4309,0.2845,0.3577,0.4132,0.3507,0.3819,0.6036,0.6442,0.6239
1.4,0.1547,0.5778,0.7181,0.4163,0.2609,0.3386,0.4225,0.374,0.3982,0.6192,0.6448,0.632
1.5,0.1331,0.5591,0.7119,0.4026,0.2436,0.3231,0.4321,0.3989,0.4155,0.6345,0.6446,0.6396
1.6,0.1047,0.545,0.7035,0.3907,0.233,0.3118,0.4423,0.4252,0.4338,0.6489,0.644,0.6465
1.7,0.0724,0.5352,0.6933,0.381,0.2284,0.3047,0.4527,0.4523,0.4525,0.6618,0.6429,0.6524
1.8,0.0381,0.529,0.6813,0.3734,0.2283,0.3008,0.4627,0.4792,0.4709,0.6722,0.641,0.6566
1.9,0.0031,0.5258,0.6679,0.3678,0.2312,0.2995,0.4724,0.5055,0.489,0.6799,0.6378,0.6589
2,-0.0307,0.5246,0.6533,0.3642,0.2362,0.3002,0.4826,0.5317,0.5071,0.6851,0.6338,0.6594
2.1,-0.0608,0.5246,0.6381,0.3627,0.2427,0.3027,0.4938,0.5587,0.5263,0.6884,0.6295,0.6589
2.2,-0.0844,0.5254,0.6225,0.363,0.25,0.3065,0.5065,0.5866,0.5466,0.6904,0.6254,0.6579
2.3,-0.0994,0.5269,0.6066,0.3643,0.2576,0.311,0.5201,0.6146,0.5673,0.6917,0.6221,0.6569
2.4,-0.1057,0.5281,0.5908,0.3655,0.2644,0.3149,0.5334,0.6414,0.5874,0.6929,0.6198,0.6564
2.5,-0.1054,0.5282,0.5759,0.3651,0.2697,0.3174,0.5454,0.6665,0.6059,0.694,0.6185,0.6563
2.6,-0.1012,0.5268,0.5626,0.3625,0.2734,0.3179,0.5553,0.6897,0.6225,0.6946,0.6181,0.6564
2.7,-0.0949,0.5236,0.5516,0.3578,0.2755,0.3167,0.5626,0.7116,0.6371,0.6941,0.6185,0.6563
2.8,-0.0872,0.519,0.543,0.3517,0.2763,0.314,0.5674,0.7329,0.6502,0.6921,0.6192,0.6557
2.9,-0.0784,0.5129,0.537,0.3442,0.2763,0.3102,0.5695,0.754,0.6618,0.6886,0.6198,0.6542
