Time,AMI - Car Insurance TVC 30,AMI - Car Insurance TVC 30,AMI - Car Insurance TVC 30,AMI - Car Insurance TVC 30,AMI - Car Insurance TVC 30,AMI - Car Insurance TVC 30,AMI - Car Insurance TVC 30,AMI - Car Insurance TVC 30,AMI - Car Insurance TVC 30,AMI - Car Insurance TVC 30,AMI - Car Insurance TVC 30,AMI - Car Insurance TVC 30
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.3164,0.3534,0.2636,0.4334,0.3094,0.3714,0.4667,0.3343,0.4005,0.3255,0.3417,0.3336
0.1,0.3167,0.3468,0.2603,0.4205,0.3224,0.3714,0.4589,0.3297,0.3943,0.3299,0.3386,0.3342
0.2,0.3168,0.3412,0.2556,0.4061,0.335,0.3706,0.4496,0.3243,0.3869,0.3329,0.3356,0.3343
0.3,0.3163,0.3361,0.2494,0.39,0.3469,0.3684,0.4388,0.3185,0.3787,0.334,0.3324,0.3332
0.4,0.314,0.3317,0.2419,0.3723,0.3582,0.3653,0.4269,0.3131,0.37,0.3333,0.3289,0.3311
0.5,0.3086,0.3283,0.2336,0.3538,0.3699,0.3619,0.4143,0.3088,0.3616,0.3309,0.3251,0.328
0.6,0.2989,0.3259,0.2257,0.3352,0.3828,0.359,0.4017,0.3057,0.3537,0.3272,0.3211,0.3241
0.7,0.2851,0.3245,0.2186,0.3172,0.3973,0.3573,0.3895,0.3041,0.3468,0.3223,0.3164,0.3194
0.8,0.2672,0.3235,0.2127,0.3006,0.4131,0.3569,0.3782,0.3041,0.3412,0.3165,0.3107,0.3136
0.9,0.2452,0.3227,0.2085,0.2859,0.4298,0.3578,0.3683,0.306,0.3371,0.3099,0.304,0.307
1,0.2191,0.3224,0.207,0.2737,0.4471,0.3604,0.3598,0.3103,0.3351,0.3025,0.2967,0.2996
1.1,0.1894,0.3228,0.2088,0.2646,0.4653,0.3649,0.353,0.3171,0.335,0.2944,0.2892,0.2918
1.2,0.157,0.3242,0.2143,0.2592,0.4846,0.3719,0.3476,0.3263,0.337,0.2862,0.2824,0.2843
1.3,0.1228,0.3261,0.2234,0.2579,0.5048,0.3814,0.3438,0.3379,0.3408,0.2792,0.2769,0.278
1.4,0.0877,0.3279,0.2359,0.261,0.5259,0.3934,0.3416,0.3523,0.347,0.2747,0.2735,0.2741
1.5,0.0524,0.3298,0.252,0.2687,0.5473,0.408,0.3409,0.3699,0.3554,0.2732,0.2729,0.273
1.6,0.018,0.332,0.2713,0.2805,0.5686,0.4246,0.3414,0.3904,0.3659,0.2748,0.2753,0.2751
1.7,-0.0153,0.3347,0.2931,0.2955,0.5886,0.4421,0.3427,0.4129,0.3778,0.2796,0.2807,0.2801
1.8,-0.0475,0.338,0.3166,0.3126,0.6064,0.4595,0.3445,0.4363,0.3904,0.2869,0.2889,0.2879
1.9,-0.0781,0.3418,0.3413,0.3316,0.6221,0.4769,0.3464,0.4598,0.4031,0.2963,0.2996,0.298
2,-0.1073,0.3462,0.3665,0.3523,0.6362,0.4943,0.3484,0.4826,0.4155,0.3071,0.3124,0.3097
2.1,-0.1345,0.3519,0.3914,0.3745,0.6494,0.512,0.3508,0.504,0.4274,0.3189,0.3271,0.323
2.2,-0.1596,0.3597,0.4153,0.3978,0.6619,0.5298,0.3539,0.5237,0.4388,0.3318,0.3437,0.3377
2.3,-0.1824,0.3703,0.4373,0.4211,0.6736,0.5473,0.3579,0.5418,0.4498,0.346,0.362,0.354
2.4,-0.2038,0.3837,0.4572,0.4435,0.684,0.5637,0.3625,0.5587,0.4606,0.3614,0.3815,0.3715
2.5,-0.2242,0.4001,0.4748,0.4646,0.6929,0.5787,0.3674,0.5747,0.471,0.377,0.4015,0.3893
2.6,-0.243,0.4194,0.4905,0.4845,0.6997,0.5921,0.3723,0.5897,0.481,0.3922,0.4213,0.4067
2.7,-0.2596,0.4415,0.5043,0.5031,0.704,0.6036,0.3774,0.6038,0.4906,0.4066,0.4405,0.4236
2.8,-0.2736,0.4656,0.5165,0.5203,0.7051,0.6127,0.3833,0.6168,0.5,0.4205,0.459,0.4397
2.9,-0.2855,0.4903,0.5272,0.5356,0.7027,0.6192,0.3899,0.6286,0.5092,0.4336,0.4764,0.455
3,-0.2964,0.514,0.5362,0.5487,0.6968,0.6228,0.3971,0.639,0.518,0.4456,0.4925,0.469
3.1,-0.3076,0.5362,0.5436,0.5592,0.6881,0.6236,0.4047,0.6479,0.5263,0.4557,0.5069,0.4813
3.2,-0.3194,0.5571,0.5493,0.5671,0.6777,0.6224,0.4125,0.6553,0.5339,0.4637,0.5192,0.4914
3.3,-0.3313,0.5774,0.5532,0.573,0.6672,0.6201,0.4204,0.6609,0.5407,0.4691,0.5291,0.4991
3.4,-0.3423,0.5977,0.5548,0.5779,0.6577,0.6178,0.4282,0.6647,0.5464,0.4721,0.5364,0.5042
3.5,-0.3524,0.6178,0.5536,0.5821,0.6502,0.6162,0.4356,0.6669,0.5512,0.4728,0.541,0.5069
3.6,-0.3623,0.6371,0.5494,0.5858,0.6451,0.6154,0.4431,0.6674,0.5552,0.4715,0.5433,0.5074
3.7,-0.3723,0.6551,0.5423,0.5891,0.6422,0.6157,0.4513,0.6664,0.5589,0.4684,0.544,0.5062
3.8,-0.3821,0.671,0.5334,0.5921,0.6409,0.6165,0.461,0.6639,0.5624,0.4641,0.5438,0.504
3.9,-0.3905,0.6837,0.5234,0.5942,0.64,0.6171,0.4714,0.6595,0.5654,0.459,0.5432,0.5011
4,-0.3966,0.6926,0.5129,0.5955,0.6386,0.617,0.4815,0.6528,0.5672,0.453,0.5421,0.4975
4.1,-0.3994,0.6976,0.5023,0.5964,0.6363,0.6163,0.4909,0.6437,0.5673,0.4469,0.5404,0.4936
4.2,-0.3994,0.6995,0.4917,0.5974,0.6331,0.6153,0.4995,0.6325,0.566,0.4415,0.5383,0.4899
4.3,-0.3973,0.699,0.4818,0.5994,0.6293,0.6143,0.5074,0.6195,0.5635,0.4373,0.5361,0.4867
4.4,-0.3938,0.6971,0.4731,0.6023,0.6255,0.6139,0.5143,0.605,0.5596,0.4343,0.5336,0.484
4.5,-0.389,0.6939,0.4652,0.6054,0.6218,0.6136,0.5195,0.5889,0.5542,0.4323,0.5306,0.4814
4.6,-0.3835,0.6893,0.4575,0.6076,0.6176,0.6126,0.5226,0.5713,0.5469,0.4313,0.5264,0.4789
4.7,-0.378,0.6838,0.4493,0.608,0.613,0.6105,0.5234,0.5524,0.5379,0.4311,0.5209,0.476
4.8,-0.3729,0.6775,0.4402,0.6065,0.6077,0.6071,0.522,0.5325,0.5273,0.4313,0.5136,0.4724
4.9,-0.3687,0.671,0.4305,0.6033,0.6018,0.6026,0.5187,0.5117,0.5152,0.4309,0.5044,0.4676
5,-0.3652,0.6643,0.42,0.5985,0.5951,0.5968,0.5135,0.49,0.5017,0.429,0.493,0.461
5.1,-0.3624,0.6571,0.4088,0.592,0.5872,0.5896,0.5067,0.4675,0.4871,0.4251,0.4793,0.4522
5.2,-0.3598,0.6493,0.3965,0.5841,0.5784,0.5812,0.4987,0.4443,0.4715,0.4192,0.4634,0.4413
5.3,-0.3577,0.6406,0.3831,0.575,0.569,0.572,0.4897,0.4211,0.4554,0.4111,0.4456,0.4284
5.4,-0.3564,0.6312,0.3686,0.5651,0.5597,0.5624,0.4798,0.3985,0.4392,0.4012,0.4265,0.4139
5.5,-0.356,0.6213,0.3533,0.5545,0.5507,0.5526,0.4693,0.3773,0.4233,0.3903,0.4068,0.3985
5.6,-0.3558,0.6111,0.3382,0.5432,0.5421,0.5426,0.458,0.3582,0.4081,0.3789,0.3871,0.383
5.7,-0.355,0.6003,0.3237,0.531,0.5337,0.5323,0.4457,0.3413,0.3935,0.3671,0.3675,0.3673
5.8,-0.3531,0.5888,0.3102,0.518,0.5252,0.5216,0.4321,0.3261,0.3791,0.3545,0.348,0.3512
5.9,-0.3498,0.5764,0.2976,0.5049,0.5165,0.5107,0.4169,0.3123,0.3646,0.3406,0.3285,0.3345
6,-0.3451,0.5638,0.2862,0.4931,0.5082,0.5006,0.4006,0.2998,0.3502,0.3255,0.3094,0.3174
6.1,-0.34,0.5518,0.2761,0.4831,0.5013,0.4922,0.3838,0.2888,0.3363,0.3101,0.2911,0.3006
6.2,-0.3352,0.5408,0.2672,0.4753,0.4966,0.4859,0.3671,0.2795,0.3233,0.295,0.274,0.2845
6.3,-0.3305,0.5306,0.2593,0.4697,0.4945,0.4821,0.3507,0.2715,0.3111,0.2805,0.2584,0.2695
6.4,-0.3251,0.5214,0.2523,0.4665,0.4949,0.4807,0.3345,0.2644,0.2995,0.2668,0.2448,0.2558
6.5,-0.3175,0.5138,0.2467,0.4663,0.4975,0.4819,0.3191,0.2579,0.2885,0.2541,0.2338,0.2439
6.6,-0.3063,0.5083,0.2428,0.4692,0.5018,0.4855,0.3051,0.252,0.2786,0.243,0.2259,0.2344
6.7,-0.2914,0.5048,0.2411,0.4749,0.5074,0.4912,0.2931,0.2471,0.2701,0.2335,0.2215,0.2275
6.8,-0.2737,0.5029,0.2417,0.4832,0.5135,0.4984,0.2836,0.2432,0.2634,0.2256,0.2205,0.223
6.9,-0.2539,0.5019,0.2443,0.4941,0.5195,0.5068,0.2772,0.2408,0.259,0.2188,0.2223,0.2206
7,-0.2328,0.5019,0.2489,0.5079,0.5245,0.5162,0.2744,0.2399,0.2571,0.2134,0.2266,0.22
7.1,-0.2094,0.5034,0.2556,0.5252,0.5283,0.5267,0.2755,0.2407,0.2581,0.2098,0.2333,0.2215
7.2,-0.1818,0.5071,0.2647,0.5452,0.5305,0.5379,0.2799,0.2431,0.2615,0.2085,0.2418,0.2252
7.3,-0.1482,0.5136,0.2758,0.5673,0.5314,0.5494,0.2869,0.2467,0.2668,0.2096,0.2516,0.2306
7.4,-0.1084,0.523,0.2888,0.591,0.5313,0.5611,0.2961,0.2516,0.2739,0.2127,0.2617,0.2372
7.5,-0.0642,0.5357,0.3035,0.6161,0.5309,0.5735,0.3081,0.2586,0.2833,0.2176,0.2721,0.2449
7.6,-0.0187,0.5516,0.3203,0.642,0.5312,0.5866,0.3234,0.2683,0.2958,0.2241,0.283,0.2536
7.7,0.0257,0.5702,0.3392,0.6672,0.5328,0.6,0.3419,0.281,0.3115,0.232,0.2947,0.2633
7.8,0.0667,0.5904,0.36,0.6896,0.5361,0.6128,0.3632,0.2967,0.33,0.2409,0.3073,0.2741
7.9,0.1026,0.6112,0.3824,0.7079,0.5414,0.6247,0.3864,0.3152,0.3508,0.2506,0.3206,0.2856
8,0.1314,0.6322,0.4064,0.7226,0.5494,0.636,0.411,0.3368,0.3739,0.2615,0.3344,0.2979
8.1,0.1519,0.6536,0.4323,0.7349,0.5613,0.6481,0.4366,0.3623,0.3994,0.2739,0.3485,0.3112
8.2,0.1637,0.675,0.4603,0.7453,0.5775,0.6614,0.4634,0.3918,0.4276,0.2886,0.3631,0.3258
8.3,0.1667,0.6958,0.4903,0.7535,0.5977,0.6756,0.4911,0.4252,0.4582,0.306,0.3784,0.3422
8.4,0.1618,0.7157,0.5216,0.7591,0.621,0.69,0.5189,0.4619,0.4904,0.3261,0.3943,0.3602
8.5,0.1502,0.7346,0.553,0.762,0.6462,0.7041,0.5456,0.5009,0.5232,0.3481,0.4103,0.3792
8.6,0.1335,0.7522,0.5832,0.7629,0.6722,0.7176,0.57,0.5406,0.5553,0.3711,0.4257,0.3984
8.7,0.1136,0.7685,0.6112,0.7625,0.6978,0.7302,0.5915,0.5797,0.5856,0.3942,0.4399,0.4171
8.8,0.092,0.7833,0.6362,0.7614,0.7218,0.7416,0.6098,0.6172,0.6135,0.4166,0.4531,0.4348
8.9,0.0697,0.7961,0.6581,0.7599,0.7438,0.7518,0.6248,0.6521,0.6384,0.4375,0.4648,0.4511
9,0.047,0.8064,0.6762,0.7581,0.7632,0.7606,0.6361,0.6833,0.6597,0.4559,0.4746,0.4653
9.1,0.0233,0.8139,0.6897,0.7557,0.7798,0.7678,0.6428,0.7098,0.6763,0.471,0.4818,0.4764
9.2,-0.0018,0.8183,0.6981,0.7525,0.793,0.7727,0.6443,0.7312,0.6877,0.4821,0.4861,0.4841
9.3,-0.0291,0.8197,0.702,0.7481,0.8027,0.7754,0.6407,0.7473,0.694,0.4894,0.4877,0.4885
9.4,-0.059,0.8184,0.7023,0.7429,0.8091,0.776,0.6329,0.7589,0.6959,0.4933,0.4869,0.4901
9.5,-0.0907,0.8148,0.7004,0.7372,0.8124,0.7748,0.6215,0.7663,0.6939,0.4941,0.484,0.4891
9.6,-0.1229,0.8089,0.6968,0.7314,0.8128,0.7721,0.607,0.7699,0.6885,0.4921,0.4793,0.4857
