Time,ANZ - For Financial Wellbeings 60 TVC,ANZ - For Financial Wellbeings 60 TVC,ANZ - For Financial Wellbeings 60 TVC,ANZ - For Financial Wellbeings 60 TVC,ANZ - For Financial Wellbeings 60 TVC,ANZ - For Financial Wellbeings 60 TVC,ANZ - For Financial Wellbeings 60 TVC,ANZ - For Financial Wellbeings 60 TVC,ANZ - For Financial Wellbeings 60 TVC,ANZ - For Financial Wellbeings 60 TVC,ANZ - For Financial Wellbeings 60 TVC,ANZ - For Financial Wellbeings 60 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.4297,0.3859,0.6556,0.0967,0.5606,0.3287,0.5525,0.6632,0.6079,0.4713,0.4038,0.4376
0.1,-0.4141,0.393,0.6107,0.1246,0.5664,0.3455,0.5787,0.6663,0.6225,0.4702,0.3935,0.4318
0.2,-0.3951,0.3973,0.5656,0.1502,0.5655,0.3579,0.5998,0.6628,0.6313,0.4685,0.3864,0.4275
0.3,-0.3727,0.3983,0.5209,0.1725,0.5576,0.3651,0.6138,0.6525,0.6332,0.4661,0.3815,0.4238
0.4,-0.3466,0.3958,0.4777,0.1905,0.5421,0.3663,0.6184,0.6351,0.6268,0.4627,0.3775,0.4201
0.5,-0.3175,0.3896,0.437,0.2033,0.519,0.3611,0.6143,0.6115,0.6129,0.4591,0.3744,0.4167
0.6,-0.2866,0.3802,0.3998,0.2109,0.4886,0.3498,0.6033,0.5833,0.5933,0.4556,0.3721,0.4139
0.7,-0.254,0.3682,0.3664,0.2137,0.4525,0.3331,0.5881,0.5528,0.5704,0.452,0.3698,0.4109
0.8,-0.2194,0.3541,0.3364,0.2127,0.4127,0.3127,0.5704,0.5217,0.546,0.4472,0.3668,0.407
0.9,-0.1819,0.3386,0.3097,0.2086,0.3715,0.29,0.5512,0.4916,0.5214,0.4409,0.3627,0.4018
1,-0.1416,0.3222,0.2866,0.2022,0.3309,0.2665,0.5311,0.4629,0.497,0.4335,0.3584,0.396
1.1,-0.0996,0.3059,0.2676,0.1941,0.2926,0.2433,0.5107,0.4362,0.4734,0.426,0.3551,0.3905
1.2,-0.0579,0.2904,0.2534,0.1847,0.2579,0.2213,0.4906,0.4115,0.451,0.4189,0.3534,0.3862
1.3,-0.0185,0.2762,0.2433,0.1751,0.2275,0.2013,0.4708,0.389,0.4299,0.4119,0.3531,0.3825
1.4,0.0173,0.2637,0.2362,0.166,0.2023,0.1841,0.4511,0.3684,0.4097,0.4041,0.3539,0.379
1.5,0.0491,0.2527,0.231,0.158,0.1825,0.1703,0.4311,0.3496,0.3904,0.3951,0.3553,0.3752
1.6,0.0765,0.2435,0.2282,0.1516,0.1685,0.16,0.4108,0.3328,0.3718,0.3852,0.3578,0.3715
1.7,0.0982,0.2365,0.2284,0.1471,0.1602,0.1536,0.3904,0.3181,0.3542,0.3751,0.3618,0.3685
1.8,0.1123,0.2325,0.2324,0.1448,0.1573,0.1511,0.3699,0.3062,0.3381,0.3651,0.3675,0.3663
1.9,0.1176,0.232,0.24,0.1455,0.1601,0.1528,0.3497,0.2974,0.3236,0.3551,0.3743,0.3647
2,0.1133,0.2358,0.2511,0.1499,0.1685,0.1592,0.33,0.2918,0.3109,0.3447,0.3821,0.3634
2.1,0.0996,0.2446,0.2654,0.1587,0.1825,0.1706,0.3111,0.2892,0.3002,0.3338,0.3905,0.3621
2.2,0.0771,0.2586,0.2831,0.1723,0.2019,0.1871,0.2934,0.2893,0.2914,0.3234,0.4,0.3617
2.3,0.0468,0.2774,0.3042,0.1904,0.2264,0.2084,0.277,0.292,0.2845,0.3139,0.4106,0.3623
2.4,0.0108,0.3002,0.3283,0.2121,0.2555,0.2338,0.2621,0.2968,0.2794,0.3059,0.4217,0.3638
2.5,-0.0278,0.3249,0.3539,0.236,0.288,0.262,0.2484,0.3033,0.2759,0.2994,0.4322,0.3658
2.6,-0.0662,0.3492,0.379,0.2601,0.3217,0.2909,0.2357,0.3109,0.2733,0.2944,0.4412,0.3678
2.7,-0.1029,0.3712,0.4018,0.2824,0.3536,0.318,0.2236,0.3184,0.271,0.2906,0.4483,0.3695
2.8,-0.1377,0.3892,0.4212,0.3012,0.3818,0.3415,0.2116,0.3249,0.2683,0.2879,0.4532,0.3705
2.9,-0.171,0.4027,0.4371,0.3152,0.4049,0.36,0.1993,0.3301,0.2647,0.2861,0.4561,0.3711
3,-0.2022,0.4114,0.4502,0.3236,0.4227,0.3732,0.1867,0.3344,0.2606,0.2856,0.4574,0.3715
3.1,-0.2304,0.4157,0.4613,0.3262,0.4355,0.3809,0.1745,0.3382,0.2564,0.2868,0.4574,0.3721
3.2,-0.2542,0.4163,0.4709,0.3236,0.4433,0.3834,0.1635,0.3418,0.2527,0.29,0.456,0.373
3.3,-0.2728,0.4141,0.479,0.3165,0.4465,0.3815,0.1546,0.345,0.2498,0.2952,0.4523,0.3738
3.4,-0.2851,0.4098,0.4852,0.3055,0.4449,0.3752,0.148,0.3472,0.2476,0.3017,0.445,0.3734
