Time,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC,ANZ3643C - Healthy Homes Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0133,0.5938,0.457,0.6469,0.637,0.6419,0.6411,0.5894,0.6153,0.4564,0.4722,0.4643
0.1,-0.0037,0.5968,0.4785,0.6429,0.6269,0.6349,0.6468,0.5983,0.6225,0.451,0.4644,0.4577
0.2,0.0045,0.6004,0.4971,0.6379,0.6154,0.6266,0.6493,0.6052,0.6272,0.4467,0.455,0.4508
0.3,0.01,0.6045,0.5134,0.6316,0.6028,0.6172,0.6484,0.6105,0.6295,0.444,0.4444,0.4442
0.4,0.0118,0.6094,0.5281,0.6239,0.5901,0.607,0.644,0.6147,0.6293,0.4432,0.4331,0.4381
0.5,0.0089,0.6149,0.5419,0.6154,0.5777,0.5965,0.6356,0.6177,0.6267,0.4448,0.4218,0.4333
0.6,0.0009,0.6212,0.5549,0.6061,0.5654,0.5857,0.6233,0.6193,0.6213,0.449,0.4116,0.4303
0.7,-0.0117,0.6281,0.5673,0.5964,0.5527,0.5745,0.6072,0.6192,0.6132,0.4555,0.403,0.4293
0.8,-0.0274,0.6356,0.5795,0.5869,0.5387,0.5628,0.588,0.6174,0.6027,0.4637,0.3965,0.4301
0.9,-0.0459,0.6436,0.5919,0.5784,0.5236,0.551,0.5664,0.6143,0.5904,0.4732,0.3922,0.4327
1,-0.0676,0.6522,0.6049,0.5721,0.5085,0.5403,0.5436,0.6102,0.5769,0.4843,0.3907,0.4375
1.1,-0.0919,0.6615,0.6181,0.5691,0.4946,0.5319,0.5206,0.6051,0.5629,0.4964,0.3923,0.4443
1.2,-0.1177,0.6714,0.6304,0.5702,0.4822,0.5262,0.4983,0.5989,0.5486,0.5088,0.3966,0.4527
1.3,-0.1438,0.6814,0.6414,0.5756,0.471,0.5233,0.4775,0.592,0.5347,0.5204,0.4034,0.4619
1.4,-0.1701,0.6913,0.6506,0.5852,0.4611,0.5232,0.4588,0.5848,0.5218,0.5309,0.412,0.4714
1.5,-0.1968,0.7009,0.658,0.5984,0.4536,0.526,0.443,0.5778,0.5104,0.5409,0.4222,0.4816
1.6,-0.2233,0.7104,0.663,0.6149,0.4489,0.5319,0.4303,0.5714,0.5008,0.5516,0.4333,0.4924
1.7,-0.2473,0.7197,0.6649,0.6342,0.4471,0.5407,0.4207,0.5656,0.4932,0.5633,0.4445,0.5039
1.8,-0.267,0.7286,0.663,0.6552,0.4472,0.5512,0.4138,0.5606,0.4872,0.5755,0.4553,0.5154
1.9,-0.2812,0.7366,0.6572,0.6768,0.4483,0.5626,0.409,0.5562,0.4826,0.5877,0.4653,0.5265
2,-0.2904,0.744,0.6478,0.6977,0.4498,0.5737,0.4058,0.5526,0.4792,0.5992,0.4746,0.5369
2.1,-0.2954,0.751,0.6353,0.7166,0.4518,0.5842,0.4037,0.5496,0.4767,0.6097,0.4832,0.5465
2.2,-0.2967,0.7578,0.6203,0.7327,0.4545,0.5936,0.4023,0.5472,0.4747,0.6192,0.4913,0.5552
2.3,-0.2937,0.7641,0.6032,0.7456,0.4582,0.6019,0.4008,0.5456,0.4732,0.6271,0.4987,0.5629
2.4,-0.2855,0.7694,0.5843,0.7554,0.4623,0.6088,0.3988,0.5449,0.4719,0.6328,0.5049,0.5688
2.5,-0.2719,0.7728,0.5641,0.7618,0.4666,0.6142,0.3961,0.5454,0.4708,0.6356,0.5098,0.5727
2.6,-0.2536,0.7737,0.543,0.765,0.4708,0.6179,0.3928,0.547,0.4699,0.6353,0.5132,0.5743
2.7,-0.2319,0.772,0.5213,0.7654,0.4749,0.6201,0.3893,0.5494,0.4694,0.6322,0.5153,0.5737
2.8,-0.208,0.768,0.4995,0.7634,0.479,0.6212,0.3862,0.5526,0.4694,0.6262,0.5159,0.571
2.9,-0.1821,0.7621,0.4777,0.7596,0.4833,0.6215,0.3838,0.5564,0.4701,0.6175,0.5144,0.566
3,-0.1542,0.7547,0.4559,0.7542,0.4881,0.6212,0.3821,0.5604,0.4713,0.6065,0.5107,0.5586
