Time,Aus Govt - Tax Return Lodgement 15 TVC,Aus Govt - Tax Return Lodgement 15 TVC,Aus Govt - Tax Return Lodgement 15 TVC,Aus Govt - Tax Return Lodgement 15 TVC,Aus Govt - Tax Return Lodgement 15 TVC,Aus Govt - Tax Return Lodgement 15 TVC,Aus Govt - Tax Return Lodgement 15 TVC,Aus Govt - Tax Return Lodgement 15 TVC,Aus Govt - Tax Return Lodgement 15 TVC,Aus Govt - Tax Return Lodgement 15 TVC,Aus Govt - Tax Return Lodgement 15 TVC,Aus Govt - Tax Return Lodgement 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.6212,0.8644,0.8674,0.6644,1.045,0.8547,0.6422,0.831,0.7366,0.6475,0.5543,0.6009
0.1,-0.5698,0.8937,0.8617,0.7085,1.0595,0.884,0.6589,0.8247,0.7418,0.66,0.5606,0.6103
0.2,-0.5275,0.9199,0.8538,0.7459,1.0695,0.9077,0.6742,0.8192,0.7467,0.67,0.5666,0.6183
0.3,-0.4953,0.9422,0.8437,0.7756,1.0746,0.9251,0.686,0.8135,0.7497,0.6762,0.5718,0.624
0.4,-0.4734,0.9601,0.8311,0.7977,1.0746,0.9361,0.6932,0.8068,0.75,0.6777,0.5755,0.6266
0.5,-0.4607,0.9733,0.8154,0.8135,1.0688,0.9412,0.6957,0.7984,0.7471,0.6742,0.5774,0.6258
0.6,-0.4547,0.982,0.7956,0.8245,1.0569,0.9407,0.6942,0.7875,0.7409,0.6659,0.5774,0.6217
0.7,-0.4536,0.9866,0.7716,0.8313,1.0386,0.935,0.6895,0.7739,0.7317,0.6529,0.5756,0.6142
0.8,-0.457,0.9876,0.7442,0.8342,1.0148,0.9245,0.6823,0.7579,0.7201,0.6355,0.5729,0.6042
0.9,-0.4633,0.9855,0.715,0.8334,0.9874,0.9104,0.6737,0.7403,0.707,0.6147,0.5701,0.5924
1,-0.4696,0.9808,0.6852,0.8305,0.9582,0.8944,0.6645,0.7212,0.6928,0.5921,0.5678,0.58
1.1,-0.4721,0.9747,0.6558,0.8279,0.9285,0.8782,0.6562,0.7005,0.6784,0.57,0.5659,0.5679
1.2,-0.4678,0.9683,0.6274,0.828,0.8988,0.8634,0.6499,0.6786,0.6642,0.55,0.5642,0.5571
1.3,-0.4561,0.9625,0.6005,0.8317,0.8695,0.8506,0.6465,0.6557,0.6511,0.5327,0.5619,0.5473
1.4,-0.4378,0.9582,0.5757,0.8389,0.8412,0.84,0.6465,0.6323,0.6394,0.5179,0.5579,0.5379
1.5,-0.4136,0.9554,0.5535,0.849,0.8139,0.8315,0.6503,0.6095,0.6299,0.5049,0.5515,0.5282
1.6,-0.3837,0.9542,0.5336,0.8616,0.7881,0.8249,0.6579,0.5881,0.623,0.4938,0.5429,0.5183
1.7,-0.3479,0.9543,0.516,0.877,0.7638,0.8204,0.6693,0.5686,0.619,0.4849,0.5328,0.5088
1.8,-0.3061,0.9555,0.5002,0.8949,0.7417,0.8183,0.6843,0.5514,0.6179,0.4789,0.5219,0.5004
1.9,-0.2583,0.9574,0.4862,0.9146,0.7225,0.8186,0.7023,0.5365,0.6194,0.4762,0.5107,0.4935
2,-0.205,0.9596,0.4747,0.9352,0.7068,0.821,0.7222,0.5239,0.623,0.4767,0.4989,0.4878
2.1,-0.1476,0.9614,0.4665,0.9555,0.6949,0.8252,0.7429,0.5139,0.6284,0.4797,0.4867,0.4832
2.2,-0.089,0.9623,0.4624,0.9742,0.6865,0.8303,0.7632,0.5071,0.6352,0.4853,0.4746,0.48
2.3,-0.0322,0.962,0.4628,0.9904,0.681,0.8357,0.7821,0.5044,0.6432,0.4932,0.4633,0.4783
2.4,0.0199,0.96,0.4678,1.0032,0.6782,0.8407,0.7991,0.5066,0.6528,0.5028,0.4538,0.4783
2.5,0.0658,0.9563,0.4769,1.012,0.6777,0.8449,0.814,0.5143,0.6642,0.5132,0.4466,0.4799
2.6,0.1051,0.9504,0.4893,1.0164,0.6793,0.8479,0.8265,0.5277,0.6771,0.5237,0.4422,0.483
2.7,0.1376,0.9425,0.5035,1.016,0.6824,0.8492,0.836,0.5463,0.6911,0.534,0.4412,0.4876
2.8,0.1624,0.9325,0.5185,1.011,0.6865,0.8488,0.8421,0.5697,0.7059,0.5437,0.4438,0.4937
2.9,0.1788,0.9207,0.5336,1.0014,0.6915,0.8464,0.8449,0.5968,0.7209,0.5524,0.45,0.5012
3,0.1871,0.907,0.5486,0.9871,0.6966,0.8419,0.8447,0.6269,0.7358,0.56,0.4598,0.5099
3.1,0.1886,0.8915,0.5624,0.9682,0.7011,0.8347,0.8416,0.6589,0.7502,0.5665,0.4732,0.5199
3.2,0.1857,0.874,0.5742,0.9454,0.7041,0.8247,0.8359,0.6913,0.7636,0.572,0.4901,0.5311
3.3,0.1802,0.8549,0.5829,0.9198,0.7051,0.8124,0.8276,0.7224,0.775,0.5765,0.5104,0.5435
3.4,0.174,0.8348,0.5882,0.8928,0.7039,0.7984,0.8168,0.7507,0.7838,0.5801,0.5339,0.557
3.5,0.1686,0.8141,0.5907,0.8656,0.7009,0.7832,0.8037,0.7752,0.7895,0.5827,0.5597,0.5712
