Time,Australian Unity - Health Insurance 15 TVC,Australian Unity - Health Insurance 15 TVC,Australian Unity - Health Insurance 15 TVC,Australian Unity - Health Insurance 15 TVC,Australian Unity - Health Insurance 15 TVC,Australian Unity - Health Insurance 15 TVC,Australian Unity - Health Insurance 15 TVC,Australian Unity - Health Insurance 15 TVC,Australian Unity - Health Insurance 15 TVC,Australian Unity - Health Insurance 15 TVC,Australian Unity - Health Insurance 15 TVC,Australian Unity - Health Insurance 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.6433,0.6732,0.8266,0.4879,0.7474,0.6176,0.5164,0.734,0.6252,0.4572,0.6876,0.5724
0.1,0.6326,0.6748,0.8029,0.5059,0.7461,0.626,0.5348,0.7456,0.6402,0.4638,0.7128,0.5883
0.2,0.6085,0.6713,0.7779,0.5205,0.7371,0.6288,0.5518,0.7533,0.6526,0.4739,0.7393,0.6066
0.3,0.5705,0.6613,0.7499,0.5296,0.721,0.6253,0.5657,0.7557,0.6607,0.4876,0.7651,0.6263
0.4,0.5201,0.644,0.7181,0.5326,0.6991,0.6159,0.5748,0.7522,0.6635,0.5045,0.7883,0.6464
0.5,0.4599,0.6208,0.683,0.531,0.6733,0.6022,0.5784,0.7428,0.6606,0.5247,0.8078,0.6663
0.6,0.3929,0.5953,0.6465,0.5267,0.6465,0.5866,0.5762,0.7286,0.6524,0.5478,0.8229,0.6853
0.7,0.3224,0.5709,0.6106,0.5212,0.6213,0.5713,0.5688,0.7106,0.6397,0.5731,0.8334,0.7033
0.8,0.2514,0.5497,0.5767,0.5155,0.5996,0.5575,0.5572,0.6902,0.6237,0.5996,0.8399,0.7198
0.9,0.1818,0.5323,0.5458,0.5096,0.5823,0.546,0.5426,0.6693,0.6059,0.6265,0.8438,0.7351
1,0.1143,0.5187,0.5198,0.5038,0.5704,0.5371,0.5265,0.6493,0.5879,0.653,0.8465,0.7497
1.1,0.0491,0.5088,0.4997,0.4981,0.5644,0.5312,0.5102,0.6317,0.5709,0.6793,0.8489,0.7641
1.2,-0.0131,0.503,0.4862,0.4929,0.5647,0.5288,0.4944,0.6168,0.5556,0.7056,0.8514,0.7785
1.3,-0.071,0.5015,0.4791,0.4886,0.5712,0.5299,0.4796,0.6046,0.5421,0.7315,0.854,0.7928
1.4,-0.1225,0.5038,0.4771,0.4855,0.5829,0.5342,0.4661,0.5944,0.5303,0.7567,0.8573,0.807
1.5,-0.1666,0.5091,0.4786,0.4835,0.5988,0.5412,0.4542,0.5855,0.5198,0.7815,0.8619,0.8217
1.6,-0.2033,0.5166,0.4819,0.4821,0.6183,0.5502,0.4439,0.5773,0.5106,0.8067,0.8687,0.8377
1.7,-0.2333,0.5256,0.4855,0.4811,0.6407,0.5609,0.4354,0.5695,0.5024,0.8323,0.8778,0.855
1.8,-0.257,0.5358,0.4884,0.4802,0.6655,0.5729,0.4288,0.5617,0.4953,0.8577,0.8883,0.873
1.9,-0.2741,0.5471,0.4899,0.4795,0.6918,0.5857,0.4242,0.5537,0.4889,0.8824,0.8992,0.8908
2,-0.285,0.5595,0.4894,0.4792,0.7187,0.599,0.4214,0.546,0.4837,0.9059,0.9097,0.9078
2.1,-0.2906,0.5732,0.487,0.4803,0.7449,0.6126,0.4207,0.5392,0.4799,0.928,0.9198,0.9239
2.2,-0.2928,0.5879,0.4829,0.4831,0.7689,0.626,0.422,0.5342,0.4781,0.9483,0.9296,0.9389
2.3,-0.2935,0.6028,0.4779,0.4878,0.7891,0.6385,0.4255,0.5314,0.4784,0.9661,0.9388,0.9525
2.4,-0.2941,0.6169,0.4726,0.4948,0.8042,0.6495,0.4315,0.5308,0.4812,0.981,0.9466,0.9638
2.5,-0.2953,0.6297,0.4676,0.5041,0.8132,0.6586,0.441,0.5324,0.4867,0.9924,0.9521,0.9723
2.6,-0.2971,0.6415,0.4632,0.5162,0.8156,0.6659,0.4551,0.536,0.4956,1,0.9549,0.9774
2.7,-0.3003,0.6527,0.4595,0.5316,0.8119,0.6718,0.4742,0.5414,0.5078,1.0034,0.9546,0.979
2.8,-0.3048,0.6635,0.4568,0.55,0.8032,0.6766,0.4976,0.5477,0.5227,1.0021,0.951,0.9765
2.9,-0.31,0.6733,0.4548,0.5701,0.7901,0.6801,0.5239,0.554,0.5389,0.9959,0.9441,0.97
3,-0.3148,0.6815,0.453,0.5901,0.7733,0.6817,0.5511,0.5593,0.5552,0.9853,0.9337,0.9595
3.1,-0.3187,0.6878,0.4509,0.6086,0.7539,0.6813,0.5789,0.5634,0.5711,0.9709,0.9204,0.9456
3.2,-0.3215,0.6928,0.4479,0.6252,0.7339,0.6796,0.6076,0.5669,0.5873,0.9532,0.9047,0.929
3.3,-0.3229,0.6972,0.4443,0.6407,0.7155,0.6781,0.6374,0.5703,0.6038,0.9326,0.8875,0.91
3.4,-0.3222,0.7009,0.44,0.6557,0.7007,0.6782,0.6673,0.5738,0.6206,0.9095,0.8689,0.8892
3.5,-0.3187,0.7036,0.4349,0.6702,0.6905,0.6803,0.6954,0.5775,0.6365,0.8844,0.8492,0.8668
3.6,-0.3114,0.7042,0.4289,0.6841,0.6848,0.6845,0.7202,0.5811,0.6507,0.8578,0.8285,0.8431
3.7,-0.2994,0.7027,0.4222,0.6978,0.6837,0.6908,0.7407,0.5842,0.6625,0.8302,0.8066,0.8184
3.8,-0.2819,0.6996,0.4152,0.7117,0.6872,0.6995,0.7558,0.5868,0.6713,0.8018,0.7835,0.7926
3.9,-0.257,0.696,0.4088,0.7258,0.6953,0.7106,0.765,0.5888,0.6769,0.7725,0.7588,0.7657
4,-0.2233,0.6923,0.4037,0.7394,0.7075,0.7234,0.7684,0.5906,0.6795,0.7425,0.7329,0.7377
4.1,-0.1803,0.6887,0.4002,0.7517,0.7229,0.7373,0.7663,0.5917,0.679,0.7123,0.7061,0.7092
4.2,-0.1294,0.6848,0.3985,0.7628,0.7401,0.7515,0.7593,0.5915,0.6754,0.6834,0.6797,0.6815
4.3,-0.0735,0.6809,0.3986,0.7729,0.7569,0.7649,0.7476,0.5891,0.6684,0.6569,0.6546,0.6557
4.4,-0.0154,0.6774,0.4001,0.7819,0.7713,0.7766,0.7314,0.5836,0.6575,0.634,0.6314,0.6327
4.5,0.0436,0.6748,0.4028,0.7889,0.7817,0.7853,0.7107,0.5742,0.6424,0.6153,0.61,0.6127
4.6,0.1028,0.6736,0.4068,0.7928,0.7875,0.7902,0.6863,0.5609,0.6236,0.6011,0.5904,0.5958
