Time,Cashrewards - Yay to cashback when you shop 30 TVC,Cashrewards - Yay to cashback when you shop 30 TVC,Cashrewards - Yay to cashback when you shop 30 TVC,Cashrewards - Yay to cashback when you shop 30 TVC,Cashrewards - Yay to cashback when you shop 30 TVC,Cashrewards - Yay to cashback when you shop 30 TVC,Cashrewards - Yay to cashback when you shop 30 TVC,Cashrewards - Yay to cashback when you shop 30 TVC,Cashrewards - Yay to cashback when you shop 30 TVC,Cashrewards - Yay to cashback when you shop 30 TVC,Cashrewards - Yay to cashback when you shop 30 TVC,Cashrewards - Yay to cashback when you shop 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1249,0.8508,0.6371,0.6301,0.8108,0.7204,0.5894,0.5056,0.5475,0.463,0.4299,0.4465
0.1,-0.1286,0.8584,0.6479,0.639,0.8137,0.7264,0.5924,0.5181,0.5553,0.433,0.4127,0.4228
0.2,-0.1294,0.8583,0.6598,0.6452,0.8128,0.729,0.5945,0.5325,0.5635,0.4069,0.3966,0.4017
0.3,-0.1281,0.8501,0.6735,0.6477,0.8078,0.7277,0.5945,0.5486,0.5716,0.3862,0.3821,0.3842
0.4,-0.1244,0.8344,0.6886,0.6464,0.799,0.7227,0.5918,0.5658,0.5788,0.3718,0.3698,0.3708
0.5,-0.1176,0.8124,0.7037,0.6419,0.7871,0.7145,0.5865,0.5831,0.5848,0.3643,0.3596,0.3619
0.6,-0.1078,0.7852,0.718,0.6349,0.7728,0.7038,0.579,0.5993,0.5891,0.363,0.3512,0.3571
0.7,-0.0956,0.753,0.7312,0.6255,0.7559,0.6907,0.5696,0.6138,0.5917,0.3672,0.345,0.3561
0.8,-0.082,0.716,0.7433,0.6133,0.7361,0.6747,0.5589,0.6264,0.5926,0.3767,0.3415,0.3591
0.9,-0.0684,0.6745,0.7547,0.5979,0.7136,0.6558,0.5472,0.6372,0.5922,0.3917,0.3412,0.3665
1,-0.0555,0.63,0.765,0.5795,0.689,0.6343,0.5344,0.6463,0.5904,0.4125,0.3447,0.3786
1.1,-0.043,0.5845,0.7741,0.5585,0.6631,0.6108,0.5204,0.6538,0.5871,0.4385,0.3524,0.3954
1.2,-0.0299,0.5401,0.7826,0.5358,0.6363,0.5861,0.5055,0.6597,0.5826,0.4683,0.364,0.4161
1.3,-0.0153,0.4991,0.7912,0.513,0.6098,0.5614,0.4906,0.6642,0.5774,0.5002,0.379,0.4396
1.4,0.0011,0.4638,0.8002,0.4911,0.5851,0.5381,0.4769,0.6673,0.5721,0.5324,0.3968,0.4646
1.5,0.0184,0.4355,0.8091,0.4706,0.5637,0.5171,0.4647,0.6691,0.5669,0.5636,0.417,0.4903
1.6,0.0354,0.4144,0.8178,0.4522,0.546,0.4991,0.454,0.6695,0.5617,0.5927,0.4392,0.5159
1.7,0.0516,0.3998,0.827,0.4366,0.5319,0.4842,0.4439,0.6687,0.5563,0.6187,0.4623,0.5405
1.8,0.0667,0.3906,0.8371,0.4245,0.5204,0.4725,0.434,0.6667,0.5504,0.6406,0.4851,0.5629
