Time,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC,Countdown - Countdown to Christmas 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0613,0.6844,0.4998,0.6603,0.7387,0.6995,0.733,0.6006,0.6668,0.5033,0.4272,0.4652
0.1,-0.1153,0.6947,0.5137,0.6484,0.7446,0.6965,0.7176,0.6127,0.6652,0.4668,0.4239,0.4454
0.2,-0.1607,0.7023,0.5233,0.6368,0.7415,0.6892,0.6979,0.6191,0.6585,0.4253,0.418,0.4217
0.3,-0.196,0.7059,0.5279,0.6244,0.7272,0.6758,0.6747,0.6192,0.6469,0.3817,0.41,0.3958
0.4,-0.2204,0.7062,0.5273,0.6111,0.7018,0.6565,0.6485,0.6131,0.6308,0.3394,0.4007,0.3701
0.5,-0.2346,0.7048,0.5217,0.5981,0.6677,0.6329,0.62,0.6015,0.6107,0.3018,0.3908,0.3463
0.6,-0.2395,0.7028,0.5122,0.5864,0.6282,0.6073,0.59,0.5853,0.5877,0.2705,0.3806,0.3255
0.7,-0.2365,0.6997,0.4991,0.5758,0.5857,0.5807,0.5598,0.5655,0.5627,0.2461,0.3705,0.3083
0.8,-0.2272,0.6949,0.4831,0.5656,0.5421,0.5539,0.5311,0.5428,0.5369,0.2291,0.3613,0.2952
0.9,-0.213,0.6884,0.4651,0.5558,0.5,0.5279,0.505,0.5183,0.5117,0.2197,0.354,0.2868
