Time,Countdown - Great Price 30 TVC,Countdown - Great Price 30 TVC,Countdown - Great Price 30 TVC,Countdown - Great Price 30 TVC,Countdown - Great Price 30 TVC,Countdown - Great Price 30 TVC,Countdown - Great Price 30 TVC,Countdown - Great Price 30 TVC,Countdown - Great Price 30 TVC,Countdown - Great Price 30 TVC,Countdown - Great Price 30 TVC,Countdown - Great Price 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.4152,0.4982,0.6675,0.1465,0.7212,0.4338,0.1124,0.4221,0.2672,0.2492,0.2595,0.2544
0.1,-0.4086,0.4962,0.6881,0.1555,0.7163,0.4359,0.1471,0.4675,0.3073,0.2626,0.2909,0.2767
0.2,-0.3924,0.5023,0.7091,0.182,0.7208,0.4514,0.1886,0.5166,0.3526,0.2783,0.3254,0.3019
0.3,-0.3659,0.5162,0.7297,0.2236,0.7314,0.4775,0.2355,0.5674,0.4015,0.2956,0.3626,0.3291
0.4,-0.3273,0.537,0.7493,0.2774,0.7442,0.5108,0.2873,0.6185,0.4529,0.3143,0.4019,0.3581
0.5,-0.2746,0.5643,0.767,0.3402,0.7566,0.5484,0.343,0.6682,0.5056,0.3344,0.4423,0.3884
0.6,-0.2072,0.5973,0.7825,0.4083,0.7672,0.5878,0.4012,0.7152,0.5582,0.3561,0.4831,0.4196
0.7,-0.1282,0.635,0.7952,0.4775,0.7759,0.6267,0.4601,0.758,0.6091,0.3798,0.5231,0.4514
0.8,-0.0444,0.6754,0.8049,0.544,0.7827,0.6634,0.5183,0.7958,0.657,0.4053,0.5619,0.4836
0.9,0.0363,0.7166,0.8115,0.6052,0.7873,0.6963,0.5749,0.8277,0.7013,0.4321,0.5987,0.5154
1,0.1082,0.7566,0.8143,0.6594,0.7891,0.7243,0.6296,0.853,0.7413,0.4597,0.6329,0.5463
1.1,0.168,0.7937,0.8126,0.7056,0.7882,0.7469,0.6814,0.8716,0.7765,0.4875,0.6642,0.5758
1.2,0.2129,0.8258,0.8065,0.7436,0.7846,0.7641,0.7296,0.8837,0.8067,0.5152,0.6928,0.604
1.3,0.2423,0.8517,0.7965,0.7739,0.7783,0.7761,0.7742,0.8902,0.8322,0.5433,0.7192,0.6312
1.4,0.2565,0.8711,0.7836,0.7969,0.7695,0.7832,0.8153,0.8912,0.8533,0.5726,0.7439,0.6583
1.5,0.258,0.8848,0.768,0.8131,0.759,0.786,0.8522,0.8863,0.8692,0.6031,0.7671,0.6851
1.6,0.2487,0.893,0.7499,0.8221,0.7477,0.7849,0.8838,0.8743,0.8791,0.6339,0.7886,0.7113
1.7,0.2287,0.8957,0.7294,0.8239,0.7361,0.78,0.9093,0.8547,0.882,0.6638,0.8083,0.736
1.8,0.1979,0.8933,0.7071,0.8189,0.7244,0.7716,0.9285,0.828,0.8782,0.6914,0.8259,0.7586
1.9,0.1563,0.8861,0.6837,0.8081,0.7127,0.7604,0.9418,0.7953,0.8686,0.7158,0.841,0.7784
2,0.1044,0.8737,0.6603,0.7919,0.7012,0.7465,0.9501,0.7577,0.8539,0.7366,0.8534,0.795
2.1,0.0423,0.8554,0.6375,0.7702,0.6901,0.7301,0.9537,0.7158,0.8347,0.7539,0.8632,0.8086
2.2,-0.031,0.831,0.6157,0.7426,0.6797,0.7112,0.9524,0.6701,0.8112,0.768,0.8706,0.8193
2.3,-0.1137,0.801,0.5953,0.7091,0.6698,0.6894,0.9463,0.6213,0.7838,0.779,0.8753,0.8272
2.4,-0.2009,0.7664,0.5767,0.6707,0.6601,0.6654,0.9358,0.5711,0.7534,0.7866,0.8766,0.8316
2.5,-0.286,0.729,0.561,0.6302,0.6507,0.6405,0.9217,0.5217,0.7217,0.7903,0.8736,0.8319
2.6,-0.3627,0.6897,0.549,0.5902,0.6413,0.6158,0.9048,0.4749,0.6899,0.7901,0.866,0.828
2.7,-0.4267,0.6499,0.5411,0.5522,0.6315,0.5919,0.8855,0.4315,0.6585,0.7865,0.8545,0.8205
2.8,-0.4763,0.6113,0.5376,0.5169,0.6213,0.5691,0.8646,0.3926,0.6286,0.7799,0.8396,0.8097
2.9,-0.5119,0.5762,0.5389,0.4844,0.6117,0.5481,0.8428,0.3591,0.6009,0.7704,0.8216,0.796
3,-0.535,0.5452,0.5441,0.4542,0.6031,0.5287,0.8203,0.3317,0.576,0.7579,0.7998,0.7788
3.1,-0.5462,0.5181,0.5515,0.4254,0.5953,0.5103,0.7976,0.3106,0.5541,0.7423,0.7738,0.7581
3.2,-0.5467,0.4939,0.5594,0.3971,0.5869,0.492,0.775,0.295,0.535,0.7245,0.7447,0.7346
3.3,-0.5385,0.4718,0.5668,0.3686,0.5774,0.473,0.753,0.2844,0.5187,0.7063,0.7142,0.7103
3.4,-0.5236,0.4517,0.5739,0.3389,0.5661,0.4525,0.7317,0.2783,0.505,0.689,0.6845,0.6868
3.5,-0.5026,0.4334,0.5804,0.3068,0.5528,0.4298,0.7115,0.2761,0.4938,0.6731,0.657,0.6651
3.6,-0.4746,0.4165,0.586,0.2712,0.5368,0.404,0.6936,0.2771,0.4853,0.6588,0.6329,0.6458
3.7,-0.4386,0.4005,0.5905,0.2323,0.5185,0.3754,0.6789,0.2808,0.4798,0.6465,0.6129,0.6297
3.8,-0.3951,0.3854,0.5941,0.191,0.4988,0.3449,0.6681,0.2869,0.4775,0.6369,0.5979,0.6174
3.9,-0.3461,0.3714,0.5975,0.1486,0.479,0.3138,0.6609,0.2949,0.4779,0.6307,0.5886,0.6096
4,-0.2936,0.3587,0.601,0.1062,0.4607,0.2835,0.657,0.3045,0.4807,0.6285,0.585,0.6067
4.1,-0.2386,0.3468,0.6046,0.0646,0.4446,0.2546,0.6559,0.3152,0.4856,0.6301,0.5869,0.6085
4.2,-0.1818,0.3353,0.6081,0.0242,0.4309,0.2276,0.6572,0.3269,0.4921,0.6347,0.5939,0.6143
4.3,-0.1232,0.3245,0.612,-0.0143,0.4197,0.2027,0.6605,0.3397,0.5001,0.6423,0.6051,0.6237
4.4,-0.0641,0.3155,0.6169,-0.05,0.4119,0.181,0.6652,0.354,0.5096,0.6535,0.6202,0.6368
4.5,-0.0054,0.3102,0.6238,-0.0812,0.4096,0.1642,0.6708,0.3704,0.5206,0.6687,0.6388,0.6537
4.6,0.0529,0.3097,0.6336,-0.1062,0.4142,0.154,0.6768,0.3893,0.533,0.6878,0.6603,0.6741
4.7,0.1128,0.3146,0.6469,-0.1239,0.426,0.1511,0.6834,0.411,0.5472,0.7107,0.6839,0.6973
4.8,0.1775,0.3248,0.6633,-0.1332,0.4448,0.1558,0.6911,0.4352,0.5632,0.7371,0.7083,0.7227
4.9,0.2495,0.34,0.6821,-0.1331,0.4706,0.1688,0.7,0.4615,0.5808,0.7658,0.7315,0.7486
5,0.3274,0.36,0.7027,-0.122,0.5034,0.1907,0.7099,0.4895,0.5997,0.7953,0.752,0.7736
5.1,0.4071,0.3854,0.7245,-0.0976,0.5421,0.2223,0.7215,0.5192,0.6204,0.8243,0.7693,0.7968
5.2,0.486,0.4172,0.7474,-0.0579,0.5857,0.2639,0.7359,0.5507,0.6433,0.852,0.7834,0.8177
5.3,0.5627,0.4541,0.7712,-0.0021,0.6324,0.3152,0.7535,0.5833,0.6684,0.8781,0.7945,0.8363
5.4,0.6361,0.494,0.7954,0.0679,0.68,0.374,0.7734,0.6152,0.6943,0.9018,0.8022,0.852
5.5,0.7015,0.535,0.8186,0.1479,0.7265,0.4372,0.7934,0.6444,0.7189,0.9213,0.8059,0.8636
5.6,0.7524,0.576,0.84,0.2309,0.7701,0.5005,0.8117,0.6688,0.7402,0.935,0.8049,0.8699
5.7,0.7871,0.6161,0.859,0.3095,0.8091,0.5593,0.8267,0.6877,0.7572,0.9414,0.7988,0.8701
5.8,0.8068,0.6542,0.8757,0.3787,0.8431,0.6109,0.8381,0.7009,0.7695,0.9401,0.7879,0.864
5.9,0.8135,0.6889,0.8899,0.4367,0.8723,0.6545,0.8457,0.7089,0.7773,0.9312,0.7731,0.8522
6,0.8079,0.7189,0.9013,0.4833,0.8974,0.6904,0.8491,0.7118,0.7804,0.9152,0.755,0.8351
6.1,0.7904,0.7439,0.9085,0.5187,0.9186,0.7187,0.8469,0.7093,0.7781,0.892,0.7337,0.8128
6.2,0.7609,0.7639,0.9102,0.5437,0.9365,0.7401,0.8382,0.7014,0.7698,0.8615,0.7095,0.7855
6.3,0.7199,0.7781,0.9056,0.5598,0.9517,0.7557,0.8226,0.6883,0.7554,0.8243,0.6833,0.7538
6.4,0.6707,0.7862,0.8946,0.5684,0.9637,0.766,0.8007,0.6705,0.7356,0.7818,0.6563,0.7191
6.5,0.6172,0.7881,0.8783,0.5712,0.9721,0.7717,0.7741,0.6492,0.7117,0.7358,0.6301,0.6829
6.6,0.5611,0.7842,0.8578,0.5692,0.976,0.7726,0.7442,0.6258,0.685,0.6886,0.6062,0.6474
6.7,0.5025,0.7749,0.8343,0.5624,0.974,0.7682,0.7126,0.6015,0.657,0.642,0.5859,0.614
6.8,0.4417,0.7602,0.8084,0.5505,0.9648,0.7577,0.6805,0.577,0.6287,0.5978,0.5695,0.5837
6.9,0.3805,0.7399,0.7805,0.5334,0.9468,0.7401,0.6494,0.5527,0.601,0.5575,0.5572,0.5574
7,0.3203,0.7142,0.7516,0.5121,0.92,0.716,0.6205,0.5297,0.5751,0.5226,0.5493,0.536
7.1,0.2615,0.6837,0.7239,0.488,0.8845,0.6863,0.5942,0.509,0.5516,0.4948,0.5464,0.5206
7.2,0.2043,0.6491,0.6995,0.4626,0.8409,0.6518,0.5707,0.4913,0.531,0.4753,0.549,0.5122
7.3,0.1498,0.6111,0.6789,0.4363,0.7898,0.6131,0.5498,0.477,0.5134,0.4646,0.5576,0.5111
7.4,0.1002,0.5712,0.6619,0.4097,0.7328,0.5713,0.5317,0.4661,0.4989,0.463,0.5721,0.5175
7.5,0.0587,0.531,0.6481,0.3835,0.672,0.5278,0.517,0.4584,0.4877,0.47,0.5918,0.5309
7.6,0.0262,0.4917,0.6371,0.3585,0.6099,0.4842,0.5052,0.4533,0.4792,0.4846,0.6155,0.5501
7.7,0.0016,0.4542,0.6292,0.3355,0.5488,0.4421,0.4963,0.4505,0.4734,0.5056,0.6417,0.5737
7.8,-0.0181,0.4182,0.6241,0.3151,0.4906,0.4028,0.4901,0.4498,0.47,0.5316,0.6693,0.6005
7.9,-0.0357,0.3832,0.621,0.2964,0.4367,0.3665,0.4862,0.4507,0.4684,0.5606,0.697,0.6288
8,-0.0529,0.3488,0.6186,0.2787,0.388,0.3334,0.4836,0.4527,0.4681,0.5906,0.7233,0.6569
