Time,Elanco Pet Medication 15 TVC - TS,Elanco Pet Medication 15 TVC - TS,Elanco Pet Medication 15 TVC - TS,Elanco Pet Medication 15 TVC - TS,Elanco Pet Medication 15 TVC - TS,Elanco Pet Medication 15 TVC - TS,Elanco Pet Medication 15 TVC - TS,Elanco Pet Medication 15 TVC - TS,Elanco Pet Medication 15 TVC - TS,Elanco Pet Medication 15 TVC - TS,Elanco Pet Medication 15 TVC - TS,Elanco Pet Medication 15 TVC - TS
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1298,0.5266,0.488,0.4085,0.5241,0.4663,0.4502,0.4696,0.4599,0.4316,0.399,0.4153
0.1,-0.1332,0.5273,0.4843,0.4146,0.5239,0.4692,0.454,0.4709,0.4625,0.428,0.3929,0.4104
0.2,-0.1371,0.5285,0.4816,0.4228,0.5249,0.4739,0.4593,0.474,0.4667,0.4264,0.3892,0.4078
0.3,-0.1412,0.5302,0.4799,0.4329,0.5271,0.48,0.466,0.4787,0.4724,0.4265,0.3878,0.4071
0.4,-0.1446,0.532,0.4794,0.4444,0.5302,0.4873,0.4739,0.4846,0.4793,0.4282,0.3884,0.4083
0.5,-0.1469,0.534,0.4802,0.4573,0.5343,0.4958,0.4828,0.4917,0.4872,0.4312,0.3907,0.4109
0.6,-0.1483,0.5365,0.4821,0.4711,0.5393,0.5052,0.4924,0.4996,0.496,0.4349,0.3941,0.4145
0.7,-0.1489,0.5396,0.485,0.4858,0.5455,0.5156,0.5023,0.508,0.5052,0.439,0.3981,0.4186
0.8,-0.1484,0.5437,0.4887,0.5011,0.5528,0.5269,0.5122,0.5166,0.5144,0.4431,0.4024,0.4228
0.9,-0.1461,0.5489,0.4932,0.5169,0.561,0.5389,0.5219,0.5252,0.5235,0.4473,0.407,0.4271
1,-0.1414,0.555,0.4985,0.5327,0.5701,0.5514,0.5313,0.5336,0.5324,0.4517,0.4119,0.4318
1.1,-0.1341,0.5622,0.5048,0.5484,0.58,0.5642,0.5403,0.5418,0.541,0.4563,0.417,0.4366
1.2,-0.1247,0.5703,0.5123,0.5634,0.5907,0.577,0.5487,0.5496,0.5491,0.4605,0.4219,0.4412
1.3,-0.1138,0.5791,0.5211,0.5777,0.602,0.5899,0.5563,0.5568,0.5566,0.4641,0.4263,0.4452
1.4,-0.1013,0.5881,0.531,0.591,0.6138,0.6024,0.563,0.5637,0.5634,0.4671,0.4302,0.4486
1.5,-0.0866,0.597,0.542,0.6031,0.6255,0.6143,0.5688,0.5704,0.5696,0.4694,0.4339,0.4517
1.6,-0.0695,0.6054,0.5539,0.6137,0.6368,0.6253,0.5737,0.5769,0.5753,0.4714,0.4377,0.4545
1.7,-0.0502,0.613,0.5661,0.6225,0.6475,0.635,0.5778,0.5831,0.5804,0.4729,0.4415,0.4572
1.8,-0.0296,0.6196,0.5783,0.6291,0.6575,0.6433,0.5809,0.5887,0.5848,0.474,0.4452,0.4596
1.9,-0.0087,0.6254,0.5902,0.634,0.6667,0.6503,0.5831,0.5935,0.5883,0.4748,0.4487,0.4617
2,0.0117,0.6306,0.6019,0.6377,0.6752,0.6564,0.5846,0.5978,0.5912,0.4754,0.4521,0.4637
2.1,0.0312,0.6356,0.6135,0.6409,0.6826,0.6618,0.5858,0.6021,0.594,0.4763,0.4558,0.466
2.2,0.0496,0.6407,0.6249,0.644,0.6888,0.6664,0.587,0.6067,0.5969,0.4779,0.4601,0.469
2.3,0.0666,0.646,0.6358,0.6471,0.6933,0.6702,0.5882,0.6113,0.5998,0.4803,0.4653,0.4728
2.4,0.0819,0.6511,0.6458,0.6503,0.6958,0.673,0.5892,0.616,0.6026,0.4836,0.4714,0.4775
2.5,0.0953,0.6557,0.6543,0.6535,0.6961,0.6748,0.5898,0.6208,0.6053,0.488,0.4786,0.4833
2.6,0.1063,0.6593,0.6609,0.6565,0.6941,0.6753,0.5902,0.626,0.6081,0.4939,0.4874,0.4907
2.7,0.1143,0.6617,0.6652,0.6592,0.6901,0.6746,0.5906,0.6316,0.6111,0.5015,0.498,0.4998
2.8,0.1189,0.6625,0.667,0.6615,0.6841,0.6728,0.5911,0.6376,0.6143,0.5107,0.5107,0.5107
2.9,0.1203,0.6619,0.6664,0.6632,0.6762,0.6697,0.5916,0.6436,0.6176,0.5212,0.5253,0.5233
3,0.1196,0.6597,0.6636,0.6639,0.6666,0.6653,0.5921,0.6493,0.6207,0.5327,0.5413,0.537
3.1,0.1176,0.6558,0.6587,0.6631,0.6552,0.6592,0.5925,0.6547,0.6236,0.5447,0.558,0.5514
3.2,0.1144,0.6501,0.6525,0.6606,0.6425,0.6516,0.5929,0.6598,0.6264,0.5565,0.5748,0.5657
3.3,0.1093,0.6429,0.6454,0.6565,0.6294,0.643,0.5931,0.6647,0.6289,0.5678,0.5911,0.5795
3.4,0.1018,0.6347,0.6384,0.6511,0.6167,0.6339,0.5929,0.6694,0.6312,0.5779,0.6064,0.5922
3.5,0.0917,0.6257,0.6319,0.6447,0.6049,0.6248,0.5921,0.6735,0.6328,0.5866,0.6204,0.6035
3.6,0.0796,0.6164,0.6264,0.6379,0.5943,0.6161,0.5906,0.6769,0.6337,0.5938,0.6329,0.6133
3.7,0.0658,0.6072,0.6219,0.6312,0.585,0.6081,0.5884,0.6794,0.6339,0.5996,0.6438,0.6217
3.8,0.0504,0.5987,0.6184,0.625,0.5772,0.6011,0.5857,0.6809,0.6333,0.6038,0.6527,0.6283
3.9,0.0338,0.5913,0.616,0.6195,0.5713,0.5954,0.5821,0.6812,0.6317,0.6061,0.6593,0.6327
4,0.0167,0.5854,0.6148,0.6147,0.5672,0.591,0.5778,0.6803,0.6291,0.6064,0.6634,0.6349
4.1,0,0.5812,0.6154,0.6109,0.5649,0.5879,0.573,0.6785,0.6258,0.6046,0.6653,0.635
4.2,-0.0154,0.5791,0.6183,0.6081,0.5645,0.5863,0.5679,0.6761,0.622,0.6009,0.6653,0.6331
4.3,-0.0298,0.5792,0.6237,0.6064,0.5659,0.5862,0.5627,0.6734,0.618,0.5953,0.6637,0.6295
4.4,-0.0434,0.5812,0.6313,0.6058,0.569,0.5874,0.5573,0.6702,0.6137,0.5879,0.6607,0.6243
4.5,-0.0561,0.5847,0.6405,0.6062,0.5733,0.5897,0.5519,0.6663,0.6091,0.5791,0.6563,0.6177
