Time,Dan Murphys - Christmas 2022 30 TVC,Dan Murphys - Christmas 2022 30 TVC,Dan Murphys - Christmas 2022 30 TVC,Dan Murphys - Christmas 2022 30 TVC,Dan Murphys - Christmas 2022 30 TVC,Dan Murphys - Christmas 2022 30 TVC,Dan Murphys - Christmas 2022 30 TVC,Dan Murphys - Christmas 2022 30 TVC,Dan Murphys - Christmas 2022 30 TVC,Dan Murphys - Christmas 2022 30 TVC,Dan Murphys - Christmas 2022 30 TVC,Dan Murphys - Christmas 2022 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.8114,0.3096,0.842,0.318,0.7049,0.5115,0.9052,0.6051,0.7551,0.3685,0.5176,0.4431
0.1,-0.7798,0.2925,0.8225,0.3214,0.6831,0.5023,0.8909,0.5771,0.734,0.3501,0.49,0.4201
0.2,-0.7437,0.2807,0.8047,0.3292,0.6577,0.4934,0.8749,0.5533,0.7141,0.3354,0.4656,0.4005
0.3,-0.7056,0.2747,0.7892,0.3407,0.6303,0.4855,0.858,0.5343,0.6961,0.3241,0.4452,0.3847
0.4,-0.6677,0.2752,0.7761,0.3562,0.6031,0.4797,0.8414,0.5204,0.6809,0.316,0.4296,0.3728
0.5,-0.6311,0.2824,0.7646,0.3758,0.5778,0.4768,0.8261,0.5115,0.6688,0.3103,0.4188,0.3645
0.6,-0.5954,0.2961,0.7541,0.3991,0.5555,0.4773,0.8119,0.5068,0.6594,0.3062,0.4122,0.3592
0.7,-0.5587,0.3149,0.7439,0.4247,0.5364,0.4806,0.7984,0.5056,0.652,0.303,0.4089,0.356
0.8,-0.5197,0.3364,0.734,0.4506,0.5203,0.4855,0.7848,0.5067,0.6458,0.3007,0.4083,0.3545
0.9,-0.4785,0.3581,0.7246,0.4748,0.5069,0.4908,0.7701,0.5095,0.6398,0.2997,0.4098,0.3547
1,-0.4367,0.3791,0.7157,0.4957,0.4964,0.4961,0.7537,0.5137,0.6337,0.3,0.4132,0.3566
1.1,-0.3974,0.3994,0.707,0.5125,0.4893,0.5009,0.7358,0.5194,0.6276,0.3017,0.418,0.3598
1.2,-0.3632,0.4187,0.6989,0.5248,0.485,0.5049,0.7171,0.5266,0.6218,0.305,0.4238,0.3644
1.3,-0.3342,0.4359,0.6913,0.5328,0.4824,0.5076,0.698,0.5352,0.6166,0.31,0.4305,0.3703
1.4,-0.3093,0.4494,0.6845,0.5366,0.48,0.5083,0.6794,0.5442,0.6118,0.317,0.438,0.3775
1.5,-0.2872,0.4583,0.6786,0.537,0.4769,0.507,0.6614,0.553,0.6072,0.3261,0.446,0.3861
1.6,-0.2676,0.4631,0.6735,0.5344,0.473,0.5037,0.6444,0.5609,0.6027,0.3373,0.4543,0.3958
1.7,-0.252,0.4649,0.6686,0.5289,0.4688,0.4989,0.6285,0.5677,0.5981,0.3502,0.4624,0.4063
1.8,-0.2428,0.4649,0.6637,0.5204,0.4647,0.4925,0.6133,0.5732,0.5933,0.3644,0.4699,0.4171
1.9,-0.2414,0.4638,0.6586,0.5086,0.461,0.4848,0.5983,0.5774,0.5878,0.3797,0.4767,0.4282
2,-0.2474,0.4614,0.6537,0.494,0.4574,0.4757,0.5828,0.5802,0.5815,0.3965,0.4832,0.4398
2.1,-0.2591,0.4578,0.6491,0.4778,0.4539,0.4658,0.5664,0.5811,0.5738,0.4151,0.49,0.4526
2.2,-0.275,0.4532,0.6448,0.4614,0.4505,0.456,0.5492,0.5797,0.5644,0.4357,0.4976,0.4667
2.3,-0.2941,0.4484,0.6409,0.4461,0.4479,0.447,0.5307,0.5757,0.5532,0.4579,0.5057,0.4818
2.4,-0.3162,0.4438,0.6378,0.4329,0.4465,0.4397,0.5111,0.5691,0.5401,0.4817,0.5144,0.498
2.5,-0.3409,0.44,0.6359,0.4221,0.4464,0.4342,0.4912,0.5608,0.526,0.5074,0.5241,0.5157
2.6,-0.3674,0.4373,0.6357,0.4136,0.4471,0.4304,0.4719,0.5511,0.5115,0.5359,0.5357,0.5358
2.7,-0.3942,0.4363,0.6373,0.4072,0.4482,0.4277,0.454,0.5402,0.4971,0.5677,0.55,0.5588
2.8,-0.4199,0.4374,0.6404,0.4029,0.4494,0.4261,0.4381,0.5289,0.4835,0.602,0.5668,0.5844
2.9,-0.4436,0.4414,0.6443,0.4013,0.4514,0.4263,0.4246,0.5177,0.4712,0.6373,0.5858,0.6116
3,-0.4653,0.4486,0.6481,0.4033,0.4557,0.4295,0.4143,0.5076,0.4609,0.6721,0.6065,0.6393
3.1,-0.4854,0.4596,0.6508,0.4089,0.4636,0.4363,0.4078,0.4994,0.4536,0.7051,0.6287,0.6669
3.2,-0.5043,0.4744,0.6521,0.4176,0.4751,0.4463,0.4052,0.4944,0.4498,0.7356,0.6517,0.6936
3.3,-0.5226,0.4928,0.6518,0.4283,0.4893,0.4588,0.4065,0.4932,0.4498,0.7625,0.6744,0.7184
3.4,-0.5402,0.514,0.65,0.4402,0.5053,0.4728,0.4111,0.4958,0.4534,0.785,0.6953,0.7401
3.5,-0.5566,0.5366,0.647,0.4521,0.5226,0.4873,0.4185,0.502,0.4603,0.8026,0.7132,0.7579
3.6,-0.571,0.5592,0.643,0.463,0.541,0.502,0.4286,0.5112,0.4699,0.8154,0.7277,0.7715
3.7,-0.583,0.581,0.6382,0.472,0.5609,0.5164,0.4405,0.5227,0.4816,0.824,0.7388,0.7814
3.8,-0.5923,0.6015,0.6328,0.4784,0.5818,0.5301,0.4532,0.5355,0.4944,0.8286,0.7464,0.7875
3.9,-0.5993,0.6203,0.6268,0.4819,0.6027,0.5423,0.4649,0.5487,0.5068,0.8293,0.7496,0.7895
4,-0.6047,0.6365,0.6206,0.4825,0.6219,0.5522,0.4739,0.5613,0.5176,0.8265,0.748,0.7873
4.1,-0.6093,0.6494,0.6146,0.4804,0.6379,0.5592,0.4793,0.5727,0.526,0.8213,0.7424,0.7818
4.2,-0.6131,0.6585,0.6093,0.476,0.6499,0.563,0.4811,0.5828,0.5319,0.8154,0.7338,0.7746
4.3,-0.6161,0.6641,0.6052,0.4701,0.6583,0.5642,0.4802,0.5919,0.536,0.8098,0.7232,0.7665
4.4,-0.6178,0.6673,0.6023,0.4638,0.6637,0.5638,0.4778,0.6008,0.5393,0.8053,0.7113,0.7583
4.5,-0.6179,0.669,0.6,0.4591,0.6669,0.563,0.4754,0.6099,0.5426,0.802,0.6984,0.7502
