Time,Good 360 Brand v5 30 TVC,Good 360 Brand v5 30 TVC,Good 360 Brand v5 30 TVC,Good 360 Brand v5 30 TVC,Good 360 Brand v5 30 TVC,Good 360 Brand v5 30 TVC,Good 360 Brand v5 30 TVC,Good 360 Brand v5 30 TVC,Good 360 Brand v5 30 TVC,Good 360 Brand v5 30 TVC,Good 360 Brand v5 30 TVC,Good 360 Brand v5 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.4609,0.614,0.7497,0.3406,0.5617,0.4512,0.6249,0.6676,0.6463,0.6545,0.7628,0.7087
0.1,-0.4912,0.611,0.7332,0.3384,0.5668,0.4526,0.6168,0.674,0.6454,0.6521,0.7462,0.6992
0.2,-0.5175,0.606,0.7162,0.3421,0.5745,0.4583,0.6079,0.6828,0.6453,0.6469,0.728,0.6875
0.3,-0.5403,0.5989,0.6992,0.3509,0.5837,0.4673,0.5985,0.6933,0.6459,0.6397,0.7089,0.6743
0.4,-0.5599,0.59,0.6822,0.3635,0.5931,0.4783,0.589,0.7044,0.6467,0.6307,0.6898,0.6602
0.5,-0.577,0.5796,0.665,0.3787,0.6016,0.4902,0.5799,0.7151,0.6475,0.6202,0.6713,0.6458
0.6,-0.5919,0.5681,0.6476,0.396,0.6093,0.5027,0.5722,0.7254,0.6488,0.6085,0.6537,0.6311
0.7,-0.6052,0.5558,0.6302,0.4147,0.6163,0.5155,0.5667,0.7355,0.6511,0.5959,0.6368,0.6163
0.8,-0.6174,0.5429,0.6127,0.4335,0.6221,0.5278,0.5637,0.7454,0.6545,0.5823,0.6201,0.6012
0.9,-0.6291,0.5289,0.595,0.4504,0.6262,0.5383,0.5632,0.7547,0.659,0.5676,0.6031,0.5854
1,-0.6405,0.5133,0.5773,0.4629,0.6277,0.5453,0.565,0.7628,0.6639,0.5513,0.5859,0.5686
1.1,-0.6519,0.4956,0.5602,0.4693,0.6261,0.5477,0.5682,0.7694,0.6688,0.5335,0.5687,0.5511
1.2,-0.6633,0.4757,0.5443,0.4678,0.6215,0.5447,0.5721,0.7744,0.6732,0.5148,0.552,0.5334
1.3,-0.6747,0.4541,0.5294,0.4566,0.6139,0.5352,0.576,0.7775,0.6768,0.496,0.5364,0.5162
1.4,-0.6869,0.4317,0.5153,0.4346,0.6028,0.5187,0.5799,0.7783,0.6791,0.4777,0.5216,0.4997
1.5,-0.7011,0.4089,0.5023,0.4018,0.5876,0.4947,0.5836,0.7763,0.68,0.4604,0.5076,0.484
1.6,-0.7179,0.3865,0.4907,0.3596,0.568,0.4638,0.5868,0.7712,0.679,0.444,0.4941,0.469
1.7,-0.7365,0.3655,0.4816,0.3106,0.5445,0.4275,0.5887,0.763,0.6758,0.429,0.4811,0.455
1.8,-0.7551,0.3469,0.4751,0.2579,0.5182,0.3881,0.5885,0.7522,0.6704,0.4157,0.4689,0.4423
1.9,-0.7717,0.3317,0.4713,0.2046,0.4901,0.3474,0.586,0.7393,0.6627,0.4046,0.4577,0.4312
2,-0.7847,0.3196,0.4699,0.1529,0.4607,0.3068,0.5813,0.7246,0.6529,0.3963,0.4477,0.422
2.1,-0.7927,0.3098,0.4703,0.1042,0.4292,0.2667,0.574,0.7081,0.6411,0.3912,0.4393,0.4153
2.2,-0.7944,0.3009,0.4718,0.059,0.3956,0.2273,0.5635,0.6903,0.6269,0.3894,0.4324,0.4109
2.3,-0.7889,0.2927,0.4735,0.0189,0.3607,0.1898,0.5487,0.6713,0.61,0.3905,0.4268,0.4087
2.4,-0.7752,0.2854,0.4741,-0.014,0.3266,0.1563,0.5294,0.6516,0.5905,0.3943,0.4222,0.4083
2.5,-0.7526,0.279,0.4723,-0.0383,0.2958,0.1287,0.5063,0.6315,0.5689,0.4006,0.419,0.4098
2.6,-0.7219,0.2735,0.4677,-0.0535,0.2702,0.1084,0.4807,0.612,0.5464,0.409,0.4172,0.4131
2.7,-0.6854,0.2691,0.4603,-0.0596,0.2514,0.0959,0.4546,0.5938,0.5242,0.419,0.4163,0.4177
2.8,-0.6458,0.2669,0.4509,-0.0569,0.2408,0.092,0.4291,0.5776,0.5033,0.4294,0.4158,0.4226
2.9,-0.6051,0.2676,0.4409,-0.045,0.2394,0.0972,0.4055,0.564,0.4847,0.439,0.4148,0.4269
3,-0.5645,0.2714,0.4315,-0.0241,0.2473,0.1116,0.3848,0.5533,0.4691,0.4465,0.413,0.4297
3.1,-0.5242,0.278,0.4239,0.0054,0.2635,0.1344,0.368,0.5457,0.4568,0.4515,0.4106,0.4311
3.2,-0.4843,0.2874,0.4185,0.0428,0.2864,0.1646,0.3559,0.5407,0.4483,0.4545,0.4089,0.4317
3.3,-0.4453,0.3002,0.4166,0.0875,0.3146,0.201,0.3492,0.538,0.4436,0.4571,0.4088,0.433
3.4,-0.4071,0.3178,0.419,0.139,0.3467,0.2428,0.3483,0.5367,0.4425,0.4603,0.4108,0.4356
3.5,-0.3687,0.3406,0.4268,0.1962,0.3811,0.2887,0.3535,0.5363,0.4449,0.4648,0.4146,0.4397
3.6,-0.3292,0.3684,0.4407,0.2571,0.416,0.3366,0.365,0.5368,0.4509,0.471,0.4196,0.4453
