Time,Haval - H6 Hybrid 15 TVC,Haval - H6 Hybrid 15 TVC,Haval - H6 Hybrid 15 TVC,Haval - H6 Hybrid 15 TVC,Haval - H6 Hybrid 15 TVC,Haval - H6 Hybrid 15 TVC,Haval - H6 Hybrid 15 TVC,Haval - H6 Hybrid 15 TVC,Haval - H6 Hybrid 15 TVC,Haval - H6 Hybrid 15 TVC,Haval - H6 Hybrid 15 TVC,Haval - H6 Hybrid 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0445,0.7146,0.5184,0.6379,0.3823,0.5101,0.3639,0.5337,0.4488,1.0268,1.1414,1.0841
0.1,-0.0014,0.6971,0.5246,0.6409,0.3564,0.4986,0.3891,0.54,0.4646,1.0225,1.1218,1.0722
0.2,0.0454,0.6759,0.5312,0.6406,0.3303,0.4855,0.4119,0.5454,0.4786,1.0111,1.0974,1.0543
0.3,0.0941,0.6522,0.5386,0.6382,0.3049,0.4715,0.4311,0.5494,0.4902,0.9937,1.0689,1.0313
0.4,0.1434,0.6273,0.5475,0.635,0.2809,0.458,0.446,0.5524,0.4992,0.9716,1.0374,1.0045
0.5,0.1914,0.6022,0.5587,0.6321,0.2597,0.4459,0.4567,0.5547,0.5057,0.9462,1.0039,0.975
0.6,0.2356,0.5779,0.5723,0.6301,0.2424,0.4362,0.4636,0.5564,0.51,0.9189,0.9691,0.944
0.7,0.273,0.5549,0.5878,0.6285,0.2297,0.4291,0.4674,0.5575,0.5125,0.8905,0.9334,0.912
0.8,0.3014,0.5333,0.6047,0.6269,0.2216,0.4243,0.4689,0.5584,0.5136,0.8614,0.8969,0.8792
0.9,0.3195,0.5136,0.6226,0.6247,0.2176,0.4212,0.4685,0.5598,0.5141,0.832,0.8595,0.8457
1,0.3266,0.4961,0.6404,0.6212,0.218,0.4196,0.4664,0.5618,0.5141,0.8027,0.8211,0.8119
1.1,0.322,0.4808,0.6565,0.6158,0.2229,0.4194,0.4627,0.5642,0.5134,0.774,0.7818,0.7779
1.2,0.3055,0.4679,0.6695,0.6085,0.2326,0.4206,0.4576,0.566,0.5118,0.7464,0.7421,0.7442
1.3,0.2782,0.4573,0.6788,0.5992,0.2467,0.423,0.4519,0.5669,0.5094,0.7207,0.7029,0.7118
1.4,0.2426,0.4492,0.6853,0.5884,0.2647,0.4266,0.4465,0.5671,0.5068,0.6975,0.6654,0.6815
1.5,0.2015,0.4438,0.6894,0.5767,0.2867,0.4317,0.4422,0.5666,0.5044,0.6773,0.6305,0.6539
1.6,0.1573,0.4413,0.6914,0.5655,0.3131,0.4393,0.4397,0.565,0.5023,0.6603,0.5984,0.6293
1.7,0.112,0.4419,0.6915,0.5558,0.3437,0.4498,0.4394,0.5625,0.501,0.6462,0.5692,0.6077
1.8,0.0687,0.4453,0.6904,0.5481,0.3772,0.4626,0.4415,0.5594,0.5004,0.635,0.5427,0.5889
1.9,0.0305,0.4513,0.6886,0.5421,0.4111,0.4766,0.4454,0.5561,0.5007,0.627,0.5192,0.5731
2,-0.0008,0.4598,0.6867,0.5379,0.444,0.4909,0.4511,0.5528,0.502,0.622,0.4989,0.5605
2.1,-0.0255,0.4704,0.6845,0.5365,0.4751,0.5058,0.4589,0.5501,0.5045,0.6201,0.4818,0.551
2.2,-0.0444,0.483,0.6822,0.5386,0.5048,0.5217,0.4694,0.5483,0.5089,0.621,0.4682,0.5446
2.3,-0.0584,0.4976,0.6796,0.5441,0.5328,0.5384,0.4829,0.5477,0.5153,0.6249,0.4587,0.5418
2.4,-0.0683,0.5137,0.6767,0.5516,0.5583,0.555,0.4988,0.5479,0.5234,0.6316,0.4537,0.5427
2.5,-0.0748,0.5308,0.6729,0.5599,0.5804,0.5701,0.516,0.5483,0.5322,0.64,0.4527,0.5463
2.6,-0.0778,0.5477,0.6675,0.568,0.5982,0.5831,0.5331,0.5483,0.5407,0.6485,0.4541,0.5513
2.7,-0.0763,0.5636,0.6601,0.5753,0.6116,0.5935,0.5492,0.5478,0.5485,0.6553,0.4564,0.5558
2.8,-0.0699,0.5776,0.6509,0.5818,0.6212,0.6015,0.564,0.5477,0.5558,0.6592,0.4586,0.5589
2.9,-0.0588,0.5896,0.6408,0.587,0.6275,0.6073,0.577,0.5487,0.5629,0.6602,0.4606,0.5604
3,-0.044,0.5996,0.6304,0.5912,0.6307,0.6109,0.5882,0.5516,0.5699,0.6587,0.4631,0.5609
3.1,-0.0261,0.6078,0.62,0.5945,0.6312,0.6128,0.5972,0.556,0.5766,0.655,0.4659,0.5605
3.2,-0.0051,0.6149,0.6097,0.5977,0.6293,0.6135,0.6038,0.5614,0.5826,0.6491,0.4684,0.5587
3.3,0.019,0.6206,0.5996,0.6012,0.6255,0.6133,0.6078,0.5671,0.5875,0.6407,0.4697,0.5552
3.4,0.0454,0.6245,0.59,0.6057,0.6201,0.6129,0.6097,0.5728,0.5912,0.63,0.4698,0.5499
3.5,0.0735,0.6269,0.5813,0.612,0.614,0.613,0.6099,0.5793,0.5946,0.6173,0.4691,0.5432
3.6,0.1019,0.6281,0.5742,0.6207,0.608,0.6144,0.6092,0.5874,0.5983,0.6026,0.4685,0.5355
3.7,0.1293,0.6288,0.5688,0.6322,0.6035,0.6178,0.6082,0.5983,0.6032,0.5856,0.4682,0.5269
3.8,0.1547,0.6291,0.5653,0.6465,0.6012,0.6239,0.6074,0.6121,0.6098,0.5667,0.4682,0.5174
3.9,0.1777,0.6293,0.5635,0.6628,0.6017,0.6322,0.6069,0.6288,0.6178,0.5462,0.4681,0.5072
4,0.1976,0.629,0.5628,0.6799,0.6045,0.6422,0.6067,0.6473,0.627,0.5245,0.4679,0.4962
4.1,0.2138,0.6282,0.5622,0.6967,0.6092,0.6529,0.6065,0.6665,0.6365,0.5019,0.4674,0.4847
4.2,0.226,0.6273,0.5605,0.7122,0.6153,0.6638,0.6061,0.6857,0.6459,0.479,0.4667,0.4729
4.3,0.234,0.627,0.5574,0.7262,0.6229,0.6746,0.6054,0.7042,0.6548,0.4569,0.4663,0.4616
4.4,0.2374,0.6276,0.5524,0.7385,0.6319,0.6852,0.6044,0.7212,0.6628,0.4371,0.4669,0.452
4.5,0.2353,0.6294,0.5459,0.7492,0.6423,0.6958,0.6031,0.736,0.6695,0.4207,0.4691,0.4449
4.6,0.2274,0.6327,0.5386,0.7588,0.6541,0.7065,0.6017,0.748,0.6748,0.4085,0.4733,0.4409
4.7,0.2132,0.6376,0.5312,0.7678,0.667,0.7174,0.6002,0.7571,0.6786,0.4009,0.4794,0.4402
4.8,0.1928,0.6441,0.5238,0.7761,0.6806,0.7283,0.5984,0.763,0.6807,0.3981,0.4872,0.4426
4.9,0.1662,0.652,0.5161,0.7833,0.694,0.7387,0.5957,0.7656,0.6806,0.3993,0.4961,0.4477
5,0.1343,0.6613,0.5081,0.7888,0.7065,0.7476,0.5912,0.765,0.6781,0.4037,0.5058,0.4547
5.1,0.098,0.6717,0.5003,0.7921,0.7171,0.7546,0.5844,0.7618,0.6731,0.4097,0.5156,0.4626
5.2,0.0586,0.683,0.4933,0.7929,0.7257,0.7593,0.5754,0.7564,0.6659,0.4164,0.5251,0.4708
5.3,0.0172,0.6946,0.4874,0.7909,0.7326,0.7618,0.5646,0.7492,0.6569,0.4236,0.5346,0.4791
5.4,-0.025,0.706,0.4826,0.7861,0.7383,0.7622,0.5523,0.74,0.6461,0.4313,0.5443,0.4878
5.5,-0.0667,0.7168,0.479,0.7784,0.7426,0.7605,0.5386,0.7287,0.6337,0.4394,0.5538,0.4966
5.6,-0.1058,0.7269,0.4772,0.7678,0.7451,0.7565,0.5235,0.7155,0.6195,0.4476,0.5625,0.5051
5.7,-0.1403,0.7354,0.4782,0.7543,0.745,0.7496,0.5067,0.7008,0.6037,0.4552,0.5692,0.5122
5.8,-0.1685,0.7416,0.4825,0.7379,0.7411,0.7395,0.488,0.6847,0.5864,0.4615,0.5724,0.517
5.9,-0.1888,0.7445,0.4898,0.7187,0.7326,0.7256,0.4674,0.6673,0.5674,0.4658,0.5713,0.5186
6,-0.2003,0.7434,0.4989,0.6964,0.7188,0.7076,0.4452,0.6487,0.5469,0.4681,0.5657,0.5169
6.1,-0.203,0.7381,0.5089,0.6713,0.6998,0.6856,0.4221,0.6293,0.5257,0.4684,0.5561,0.5123
6.2,-0.1976,0.7291,0.5192,0.6441,0.6768,0.6605,0.3988,0.6099,0.5044,0.4671,0.5435,0.5053
6.3,-0.1849,0.7172,0.5296,0.6162,0.6512,0.6337,0.3762,0.5913,0.4837,0.4646,0.529,0.4968
6.4,-0.166,0.7028,0.5398,0.5892,0.624,0.6066,0.3551,0.5732,0.4641,0.4622,0.5136,0.4879
6.5,-0.1414,0.6864,0.5489,0.5642,0.5961,0.5802,0.3359,0.5551,0.4455,0.461,0.498,0.4795
6.6,-0.1123,0.6687,0.5563,0.5419,0.5685,0.5552,0.3193,0.5367,0.428,0.4613,0.4824,0.4719
6.7,-0.0804,0.6504,0.5618,0.523,0.5425,0.5328,0.3059,0.5183,0.4121,0.4627,0.4676,0.4652
6.8,-0.0476,0.6323,0.5661,0.5085,0.5193,0.5139,0.2964,0.5005,0.3985,0.4651,0.4544,0.4597
6.9,-0.0161,0.6149,0.5692,0.4994,0.4998,0.4996,0.2913,0.4835,0.3874,0.4683,0.4439,0.4561
7,0.0123,0.5987,0.5703,0.4964,0.4839,0.4902,0.2911,0.4668,0.379,0.4727,0.4371,0.4549
7.1,0.0363,0.5841,0.5688,0.4994,0.4715,0.4854,0.296,0.4502,0.3731,0.4783,0.4344,0.4564
7.2,0.0556,0.5717,0.5639,0.508,0.462,0.485,0.3065,0.4333,0.3699,0.4848,0.4354,0.4601
7.3,0.0704,0.5617,0.556,0.5213,0.4552,0.4883,0.3227,0.4165,0.3696,0.4916,0.4396,0.4656
7.4,0.0812,0.5541,0.5454,0.5385,0.4506,0.4945,0.3443,0.4002,0.3722,0.4984,0.4463,0.4723
7.5,0.0887,0.5488,0.5321,0.5585,0.4476,0.5031,0.3706,0.3845,0.3776,0.5051,0.4548,0.48
7.6,0.0932,0.546,0.5164,0.5804,0.4461,0.5132,0.4011,0.3695,0.3853,0.5119,0.465,0.4885
7.7,0.0947,0.546,0.4991,0.6039,0.4463,0.5251,0.4352,0.3553,0.3952,0.5192,0.477,0.4981
7.8,0.0933,0.5492,0.4818,0.6294,0.4486,0.539,0.4722,0.3424,0.4073,0.527,0.4904,0.5087
7.9,0.0892,0.5558,0.4659,0.6575,0.4533,0.5554,0.5113,0.3321,0.4217,0.5351,0.505,0.5201
8,0.0839,0.5662,0.4523,0.6883,0.46,0.5742,0.5517,0.3256,0.4387,0.5431,0.5203,0.5317
8.1,0.0786,0.5806,0.4413,0.7212,0.4679,0.5946,0.5918,0.3239,0.4579,0.5507,0.536,0.5434
8.2,0.0739,0.5987,0.4332,0.7546,0.4766,0.6156,0.6296,0.327,0.4783,0.5575,0.5515,0.5545
8.3,0.0703,0.6196,0.4283,0.7867,0.4861,0.6364,0.6627,0.3348,0.4987,0.5627,0.566,0.5643
8.4,0.0683,0.6421,0.4269,0.8159,0.4961,0.656,0.6894,0.3465,0.518,0.5659,0.5787,0.5723
8.5,0.0681,0.6645,0.4287,0.8414,0.506,0.6737,0.7092,0.361,0.5351,0.567,0.5894,0.5782
8.6,0.0692,0.6852,0.4326,0.8624,0.5147,0.6886,0.722,0.377,0.5495,0.5664,0.5979,0.5822
8.7,0.0707,0.7029,0.4381,0.8783,0.5217,0.7,0.7285,0.3933,0.5609,0.5645,0.6045,0.5845
8.8,0.0718,0.7166,0.4452,0.8885,0.5264,0.7074,0.7291,0.4092,0.5692,0.5617,0.6091,0.5854
8.9,0.0725,0.7254,0.4545,0.8919,0.5281,0.71,0.7246,0.4248,0.5747,0.5581,0.6118,0.585
9,0.0727,0.7286,0.4657,0.8877,0.5265,0.7071,0.7154,0.4399,0.5777,0.5534,0.6122,0.5828
9.1,0.0723,0.7254,0.4783,0.8753,0.521,0.6981,0.7024,0.454,0.5782,0.5472,0.61,0.5786
9.2,0.0702,0.7161,0.4912,0.8549,0.5117,0.6833,0.6863,0.4663,0.5763,0.5395,0.6055,0.5725
9.3,0.0655,0.7018,0.5038,0.8277,0.4995,0.6636,0.6682,0.4766,0.5724,0.5306,0.5993,0.565
9.4,0.0572,0.6839,0.5164,0.7957,0.4854,0.6406,0.6487,0.4851,0.5669,0.5209,0.5919,0.5564
9.5,0.0452,0.6643,0.5292,0.7611,0.4704,0.6158,0.6284,0.4923,0.5603,0.5109,0.5837,0.5473
9.6,0.0302,0.6442,0.5421,0.726,0.4551,0.5906,0.6081,0.4984,0.5533,0.5011,0.5749,0.538
9.7,0.013,0.6244,0.555,0.6916,0.4398,0.5657,0.5884,0.5038,0.5461,0.4923,0.5658,0.529
9.8,-0.0059,0.6051,0.5675,0.6583,0.4247,0.5415,0.5699,0.5088,0.5393,0.485,0.5568,0.5209
9.9,-0.0266,0.5865,0.5798,0.6265,0.4099,0.5182,0.5526,0.5136,0.5331,0.4791,0.5482,0.5137
10,-0.0492,0.569,0.5921,0.5964,0.3962,0.4963,0.5367,0.5193,0.528,0.4738,0.5401,0.5069
10.1,-0.0741,0.553,0.6047,0.5689,0.3844,0.4767,0.5225,0.5265,0.5245,0.4682,0.5323,0.5002
10.2,-0.101,0.5392,0.618,0.5448,0.3755,0.4602,0.51,0.5357,0.5228,0.462,0.5251,0.4935
10.3,-0.1296,0.5286,0.6319,0.5248,0.3707,0.4477,0.4992,0.5474,0.5233,0.4551,0.5185,0.4868
10.4,-0.1593,0.5224,0.646,0.5093,0.3713,0.4403,0.4898,0.5621,0.526,0.4476,0.5123,0.4799
10.5,-0.1894,0.5217,0.6599,0.4987,0.379,0.4388,0.4811,0.5801,0.5306,0.4388,0.506,0.4724
10.6,-0.2182,0.5276,0.673,0.494,0.3955,0.4447,0.4724,0.6008,0.5366,0.4284,0.4986,0.4635
10.7,-0.2421,0.541,0.6852,0.4967,0.4218,0.4592,0.4632,0.623,0.5431,0.4171,0.4901,0.4536
10.8,-0.2573,0.5626,0.6966,0.5083,0.4576,0.483,0.4536,0.6456,0.5496,0.4057,0.4814,0.4435
10.9,-0.2604,0.5925,0.7073,0.5299,0.5017,0.5158,0.4439,0.6675,0.5557,0.3955,0.4741,0.4348
11,-0.2503,0.6296,0.7173,0.5615,0.5521,0.5568,0.4347,0.6882,0.5615,0.3869,0.4696,0.4282
11.1,-0.2266,0.6722,0.7264,0.6016,0.6056,0.6036,0.4259,0.7071,0.5665,0.3798,0.4679,0.4238
11.2,-0.1899,0.7179,0.7345,0.6476,0.6583,0.653,0.4174,0.7233,0.5704,0.3731,0.4681,0.4206
11.3,-0.1426,0.7639,0.7411,0.6955,0.7063,0.7009,0.4089,0.7356,0.5723,0.3659,0.469,0.4174
11.4,-0.0894,0.8072,0.7457,0.7407,0.7467,0.7437,0.4,0.7434,0.5717,0.3578,0.4698,0.4138
11.5,-0.0372,0.8448,0.7472,0.779,0.7784,0.7787,0.3906,0.7467,0.5686,0.3492,0.4704,0.4098
