Time,Google Home Devices 30 TVC,Google Home Devices 30 TVC,Google Home Devices 30 TVC,Google Home Devices 30 TVC,Google Home Devices 30 TVC,Google Home Devices 30 TVC,Google Home Devices 30 TVC,Google Home Devices 30 TVC,Google Home Devices 30 TVC,Google Home Devices 30 TVC,Google Home Devices 30 TVC,Google Home Devices 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.2127,0.8481,0.7421,0.8905,0.6208,0.7557,0.5523,0.5941,0.5732,0.7717,0.8464,0.8091
0.1,0.218,0.835,0.7104,0.8993,0.619,0.7591,0.5578,0.5807,0.5693,0.7364,0.8307,0.7836
0.2,0.221,0.8204,0.6819,0.908,0.6199,0.7639,0.5671,0.5712,0.5691,0.7067,0.8188,0.7628
0.3,0.2216,0.8047,0.6566,0.9159,0.6225,0.7692,0.5793,0.5648,0.5721,0.6832,0.8104,0.7468
0.4,0.2206,0.7877,0.6355,0.9218,0.6259,0.7739,0.5937,0.5611,0.5774,0.6657,0.805,0.7354
0.5,0.2182,0.7692,0.6198,0.9241,0.6298,0.7769,0.6094,0.56,0.5847,0.6542,0.802,0.7281
0.6,0.2141,0.7489,0.6103,0.9219,0.6341,0.778,0.6256,0.5618,0.5937,0.6485,0.8008,0.7246
0.7,0.2071,0.7269,0.607,0.9151,0.6392,0.7772,0.6414,0.5665,0.6039,0.6486,0.8009,0.7247
0.8,0.1956,0.7034,0.6087,0.9038,0.6453,0.7745,0.6555,0.5736,0.6145,0.6538,0.8017,0.7278
0.9,0.179,0.679,0.6137,0.888,0.6524,0.7702,0.6672,0.5822,0.6247,0.6624,0.8029,0.7327
1,0.1585,0.6542,0.6204,0.8684,0.6601,0.7642,0.6765,0.5916,0.634,0.6727,0.8041,0.7384
1.1,0.1365,0.6289,0.6277,0.8452,0.6669,0.756,0.6835,0.6009,0.6422,0.683,0.8047,0.7438
1.2,0.1156,0.6034,0.6343,0.8183,0.6713,0.7448,0.6881,0.6096,0.6489,0.6916,0.8038,0.7477
1.3,0.0967,0.578,0.639,0.7877,0.6721,0.7299,0.6897,0.6167,0.6532,0.6978,0.8009,0.7493
1.4,0.0788,0.5538,0.6412,0.7538,0.6687,0.7112,0.6878,0.6215,0.6546,0.7011,0.796,0.7486
1.5,0.0603,0.5318,0.6406,0.7178,0.6611,0.6895,0.6824,0.6233,0.6528,0.7017,0.7893,0.7455
1.6,0.0404,0.5131,0.6367,0.6813,0.6506,0.6659,0.6745,0.6224,0.6484,0.6996,0.7808,0.7402
1.7,0.0189,0.4988,0.6296,0.6456,0.6387,0.6421,0.6652,0.6197,0.6425,0.695,0.7706,0.7328
1.8,-0.0038,0.489,0.6195,0.6116,0.6264,0.619,0.6557,0.6159,0.6358,0.6884,0.759,0.7237
1.9,-0.0275,0.4837,0.6068,0.5795,0.6141,0.5968,0.6462,0.6111,0.6286,0.6804,0.7465,0.7135
2,-0.0521,0.4824,0.5923,0.5497,0.6022,0.576,0.6368,0.6056,0.6212,0.6718,0.7343,0.703
2.1,-0.0771,0.4847,0.5769,0.5227,0.5911,0.5569,0.6278,0.5998,0.6138,0.6635,0.723,0.6932
2.2,-0.1017,0.4901,0.5619,0.499,0.5811,0.54,0.62,0.5949,0.6075,0.6562,0.7134,0.6848
2.3,-0.1248,0.498,0.5486,0.4788,0.5727,0.5258,0.614,0.592,0.603,0.651,0.7062,0.6786
