Time,Hungry Jack's - Pork Belly Deluxe 15 TVC,Hungry Jack's - Pork Belly Deluxe 15 TVC,Hungry Jack's - Pork Belly Deluxe 15 TVC,Hungry Jack's - Pork Belly Deluxe 15 TVC,Hungry Jack's - Pork Belly Deluxe 15 TVC,Hungry Jack's - Pork Belly Deluxe 15 TVC,Hungry Jack's - Pork Belly Deluxe 15 TVC,Hungry Jack's - Pork Belly Deluxe 15 TVC,Hungry Jack's - Pork Belly Deluxe 15 TVC,Hungry Jack's - Pork Belly Deluxe 15 TVC,Hungry Jack's - Pork Belly Deluxe 15 TVC,Hungry Jack's - Pork Belly Deluxe 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0519,0.4719,0.712,0.3252,0.4459,0.3855,0.3858,0.2675,0.3266,0.7102,0.4802,0.5952
0.1,-0.0535,0.4817,0.6801,0.3432,0.483,0.4131,0.3994,0.2927,0.346,0.6956,0.4602,0.5779
0.2,-0.0483,0.4891,0.6518,0.362,0.5183,0.4402,0.413,0.3221,0.3676,0.6828,0.4428,0.5628
0.3,-0.0349,0.4933,0.6277,0.3809,0.549,0.465,0.4267,0.3537,0.3902,0.6715,0.4282,0.5498
0.4,-0.0133,0.4937,0.6075,0.3984,0.5732,0.4858,0.4398,0.385,0.4124,0.6609,0.4163,0.5386
0.5,0.0142,0.4903,0.5909,0.4133,0.5906,0.502,0.4512,0.4138,0.4325,0.6502,0.4061,0.5282
0.6,0.0451,0.4835,0.5774,0.4246,0.6019,0.5132,0.4603,0.4383,0.4493,0.6392,0.3971,0.5181
0.7,0.0773,0.4735,0.5668,0.4319,0.607,0.5195,0.4672,0.4577,0.4625,0.6276,0.389,0.5083
0.8,0.1097,0.4605,0.5592,0.4352,0.6057,0.5205,0.4726,0.4718,0.4722,0.6154,0.382,0.4987
0.9,0.1408,0.4446,0.5541,0.4349,0.5979,0.5164,0.4774,0.4812,0.4793,0.6027,0.3759,0.4893
1,0.1689,0.4268,0.5515,0.4318,0.5848,0.5083,0.4823,0.4869,0.4846,0.5898,0.3704,0.4801
1.1,0.1924,0.4082,0.551,0.4271,0.5679,0.4975,0.4874,0.4895,0.4884,0.5772,0.3655,0.4714
1.2,0.2105,0.3898,0.5522,0.4218,0.5485,0.4852,0.4926,0.4892,0.4909,0.5652,0.3609,0.463
1.3,0.2225,0.3722,0.5548,0.4167,0.5276,0.4721,0.4975,0.486,0.4917,0.5533,0.3564,0.4549
1.4,0.2278,0.3557,0.5586,0.412,0.5058,0.4589,0.502,0.4798,0.4909,0.5411,0.3511,0.4461
1.5,0.2251,0.3401,0.5632,0.4072,0.484,0.4456,0.5061,0.4708,0.4885,0.528,0.3444,0.4362
1.6,0.2139,0.3252,0.5686,0.4019,0.4629,0.4324,0.5098,0.46,0.4849,0.5139,0.3361,0.425
1.7,0.1936,0.3112,0.5743,0.3955,0.4436,0.4195,0.5129,0.4483,0.4806,0.4993,0.3265,0.4129
1.8,0.1651,0.2984,0.5803,0.3887,0.427,0.4078,0.5158,0.4363,0.4761,0.485,0.316,0.4005
1.9,0.1296,0.2879,0.5862,0.3822,0.4142,0.3982,0.5187,0.4241,0.4714,0.4712,0.3046,0.3879
2,0.0881,0.2803,0.5918,0.3765,0.4059,0.3912,0.5212,0.4116,0.4664,0.4575,0.292,0.3747
2.1,0.0411,0.2759,0.5967,0.3717,0.4025,0.3871,0.5225,0.399,0.4608,0.443,0.2779,0.3604
2.2,-0.0102,0.2743,0.6009,0.3675,0.404,0.3858,0.522,0.3864,0.4542,0.4277,0.2626,0.3452
2.3,-0.0635,0.2747,0.6046,0.3642,0.4097,0.387,0.519,0.3746,0.4468,0.4122,0.2474,0.3298
2.4,-0.1158,0.2761,0.6081,0.3621,0.4183,0.3902,0.5135,0.3645,0.439,0.3976,0.2336,0.3156
2.5,-0.1638,0.2775,0.6119,0.3612,0.4284,0.3948,0.5053,0.3563,0.4308,0.3849,0.2223,0.3036
2.6,-0.205,0.2786,0.6159,0.3616,0.439,0.4003,0.4939,0.35,0.422,0.3749,0.2143,0.2946
2.7,-0.238,0.2788,0.6197,0.3628,0.4489,0.4058,0.4793,0.3454,0.4123,0.368,0.2104,0.2892
2.8,-0.2625,0.2779,0.6236,0.3645,0.4572,0.4109,0.4617,0.3424,0.402,0.3644,0.2108,0.2876
2.9,-0.2778,0.2762,0.6278,0.3668,0.4632,0.415,0.4423,0.3408,0.3915,0.3641,0.2154,0.2897
3,-0.2836,0.2742,0.6322,0.3701,0.4664,0.4183,0.4222,0.3402,0.3812,0.3673,0.2237,0.2955
3.1,-0.2797,0.2724,0.6361,0.3742,0.4665,0.4203,0.4025,0.3397,0.3711,0.3739,0.235,0.3045
3.2,-0.2666,0.2712,0.6389,0.3791,0.4636,0.4214,0.384,0.339,0.3615,0.3838,0.2487,0.3163
3.3,-0.2453,0.2708,0.6406,0.3847,0.4586,0.4216,0.367,0.3379,0.3524,0.3967,0.2643,0.3305
3.4,-0.2169,0.2719,0.6419,0.391,0.4517,0.4214,0.3521,0.3365,0.3443,0.4122,0.2815,0.3468
3.5,-0.1823,0.2746,0.6435,0.3977,0.4432,0.4205,0.34,0.3351,0.3376,0.4296,0.3004,0.365
3.6,-0.1426,0.2793,0.646,0.4046,0.4331,0.4189,0.3314,0.3338,0.3326,0.4483,0.3205,0.3844
3.7,-0.0995,0.2859,0.6489,0.4117,0.4213,0.4165,0.3269,0.3327,0.3298,0.4675,0.3409,0.4042
3.8,-0.0551,0.2943,0.6515,0.4189,0.4078,0.4134,0.3264,0.3317,0.3291,0.487,0.361,0.424
3.9,-0.0117,0.3047,0.6539,0.4265,0.3938,0.4101,0.3296,0.3309,0.3302,0.5068,0.3809,0.4439
