Time,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC,KFC - Bridal Dress Shopping 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.4825,0.5514,0.5442,0.3588,0.3841,0.3714,0.5795,0.4091,0.4943,0.6303,0.6782,0.6543
0.1,-0.4519,0.5306,0.5393,0.3484,0.3449,0.3467,0.5697,0.4094,0.4896,0.6311,0.6886,0.6599
0.2,-0.4231,0.5119,0.5377,0.3373,0.3067,0.322,0.5597,0.4102,0.4849,0.6299,0.6977,0.6638
0.3,-0.3951,0.4946,0.5398,0.3256,0.2709,0.2982,0.5495,0.4117,0.4806,0.628,0.7067,0.6674
0.4,-0.367,0.4784,0.545,0.3134,0.2384,0.2759,0.5388,0.4136,0.4762,0.6264,0.7166,0.6715
0.5,-0.3378,0.4633,0.5518,0.3014,0.2091,0.2553,0.5279,0.4153,0.4716,0.6254,0.7271,0.6763
0.6,-0.3071,0.4498,0.5591,0.2904,0.1831,0.2367,0.5178,0.4165,0.4671,0.6256,0.7383,0.6819
0.7,-0.274,0.4387,0.5661,0.2813,0.1602,0.2208,0.5093,0.4172,0.4632,0.6278,0.7498,0.6888
0.8,-0.237,0.43,0.5727,0.2745,0.1406,0.2075,0.5024,0.4177,0.46,0.6326,0.7618,0.6972
0.9,-0.1948,0.4233,0.5793,0.2702,0.1243,0.1973,0.4961,0.4184,0.4572,0.6398,0.7743,0.707
1,-0.1464,0.4184,0.5856,0.2689,0.1119,0.1904,0.4894,0.4193,0.4544,0.6485,0.787,0.7177
1.1,-0.0921,0.4154,0.5915,0.2711,0.1038,0.1875,0.482,0.4206,0.4513,0.6577,0.7992,0.7284
1.2,-0.0326,0.4147,0.597,0.2772,0.1007,0.189,0.4739,0.4226,0.4482,0.6668,0.8105,0.7386
1.3,0.0309,0.4168,0.6025,0.2876,0.1029,0.1953,0.4655,0.4254,0.4454,0.6755,0.8204,0.748
1.4,0.0969,0.422,0.6083,0.3022,0.1111,0.2066,0.4576,0.4288,0.4432,0.684,0.829,0.7565
1.5,0.1635,0.4303,0.6145,0.3203,0.1255,0.2229,0.4509,0.433,0.4419,0.6925,0.8361,0.7643
