Time,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC,KFC - Buy One Get One FREE Original Recipe Burger Combo 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0132,0.6661,0.5219,0.5784,0.7641,0.6713,0.258,0.6197,0.4389,0.2395,0.4236,0.3316
0.1,-0.0294,0.6661,0.4896,0.5671,0.7691,0.6681,0.2505,0.6013,0.4259,0.237,0.4048,0.3209
0.2,-0.0639,0.6668,0.4497,0.5593,0.7725,0.6659,0.2428,0.5779,0.4104,0.2336,0.3839,0.3087
0.3,-0.0887,0.6679,0.4038,0.5553,0.7742,0.6647,0.2354,0.5506,0.393,0.2296,0.362,0.2958
0.4,-0.1042,0.6693,0.3534,0.5549,0.7744,0.6647,0.2285,0.521,0.3747,0.2258,0.3407,0.2833
0.5,-0.1126,0.6708,0.3007,0.5571,0.7734,0.6653,0.2228,0.4906,0.3567,0.2228,0.3216,0.2722
0.6,-0.1163,0.6722,0.2477,0.5603,0.7713,0.6658,0.2187,0.4605,0.3396,0.2218,0.3056,0.2637
0.7,-0.1171,0.6731,0.1967,0.5631,0.7679,0.6655,0.2162,0.432,0.3241,0.2234,0.2931,0.2582
0.8,-0.1158,0.673,0.1496,0.5642,0.7625,0.6634,0.2155,0.4057,0.3106,0.2274,0.2842,0.2558
0.9,-0.1131,0.6714,0.1076,0.5625,0.7541,0.6583,0.2163,0.382,0.2991,0.2326,0.2789,0.2558
1,-0.1098,0.6677,0.0721,0.5574,0.7414,0.6494,0.2183,0.3612,0.2898,0.2381,0.2771,0.2576
1.1,-0.1068,0.6615,0.0438,0.549,0.7239,0.6365,0.2214,0.3436,0.2825,0.2439,0.2784,0.2612
1.2,-0.1047,0.6527,0.0234,0.5379,0.7024,0.6201,0.2252,0.3292,0.2772,0.251,0.2826,0.2668
1.3,-0.1036,0.6422,0.0102,0.5246,0.6777,0.6012,0.2294,0.318,0.2737,0.2598,0.289,0.2744
1.4,-0.1024,0.6311,0.0036,0.5092,0.6508,0.58,0.2342,0.31,0.2721,0.27,0.2974,0.2837
1.5,-0.1001,0.6209,0.0027,0.4922,0.6225,0.5573,0.2394,0.3049,0.2722,0.2812,0.3068,0.294
1.6,-0.0959,0.6122,0.0073,0.4745,0.5933,0.5339,0.2451,0.3029,0.274,0.293,0.3164,0.3047
1.7,-0.09,0.6052,0.0169,0.4568,0.5639,0.5104,0.2507,0.3041,0.2774,0.3052,0.3251,0.3151
1.8,-0.0825,0.5998,0.0304,0.4396,0.5351,0.4874,0.256,0.3081,0.282,0.317,0.3316,0.3243
1.9,-0.0721,0.5961,0.0457,0.4229,0.5074,0.4651,0.2603,0.3135,0.2869,0.3273,0.3348,0.3311
2,-0.0577,0.5944,0.0608,0.4069,0.4803,0.4436,0.2634,0.3188,0.2911,0.3358,0.3346,0.3352
2.1,-0.0398,0.5949,0.0745,0.392,0.4532,0.4226,0.2651,0.3229,0.294,0.3429,0.3314,0.3371
2.2,-0.0193,0.5973,0.0866,0.3786,0.4253,0.4019,0.2657,0.3252,0.2955,0.3489,0.3259,0.3374
