Time,Kmart - Christmas Gifting Starts Here 30 TVC,Kmart - Christmas Gifting Starts Here 30 TVC,Kmart - Christmas Gifting Starts Here 30 TVC,Kmart - Christmas Gifting Starts Here 30 TVC,Kmart - Christmas Gifting Starts Here 30 TVC,Kmart - Christmas Gifting Starts Here 30 TVC,Kmart - Christmas Gifting Starts Here 30 TVC,Kmart - Christmas Gifting Starts Here 30 TVC,Kmart - Christmas Gifting Starts Here 30 TVC,Kmart - Christmas Gifting Starts Here 30 TVC,Kmart - Christmas Gifting Starts Here 30 TVC,Kmart - Christmas Gifting Starts Here 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0501,0.7698,0.8023,0.6202,0.5765,0.5984,0.446,0.6743,0.5601,0.3405,0.5386,0.4395
0.1,-0.0345,0.7688,0.7949,0.5975,0.5764,0.5869,0.459,0.6957,0.5774,0.3871,0.5751,0.4811
0.2,-0.0144,0.7706,0.7864,0.5781,0.5786,0.5783,0.4773,0.7138,0.5956,0.4371,0.6145,0.5258
0.3,0.0104,0.7748,0.7768,0.562,0.5828,0.5724,0.5014,0.7282,0.6148,0.488,0.6557,0.5719
0.4,0.0399,0.7807,0.7668,0.5494,0.5881,0.5688,0.5314,0.7389,0.6351,0.5377,0.6981,0.6179
0.5,0.0723,0.7872,0.7568,0.54,0.5936,0.5668,0.5662,0.7456,0.6559,0.5845,0.7411,0.6628
0.6,0.1056,0.7937,0.7468,0.5334,0.5986,0.566,0.6038,0.7474,0.6756,0.6276,0.7844,0.706
0.7,0.1377,0.7996,0.7368,0.5293,0.6033,0.5663,0.6421,0.7438,0.6929,0.6666,0.8274,0.747
0.8,0.1677,0.8049,0.7272,0.5274,0.6084,0.5679,0.6799,0.7346,0.7073,0.701,0.8695,0.7852
0.9,0.1947,0.809,0.7187,0.5278,0.6141,0.5709,0.7168,0.7206,0.7187,0.7304,0.9091,0.8197
1,0.218,0.8114,0.7118,0.53,0.6204,0.5752,0.7517,0.7027,0.7272,0.7544,0.9449,0.8496
1.1,0.237,0.8113,0.7071,0.5332,0.627,0.5801,0.7834,0.6819,0.7326,0.7729,0.9762,0.8746
1.2,0.2521,0.8084,0.7053,0.5365,0.6337,0.5851,0.8102,0.6588,0.7345,0.7867,1.0028,0.8947
1.3,0.2652,0.803,0.707,0.539,0.6405,0.5897,0.8313,0.634,0.7326,0.7966,1.0245,0.9105
1.4,0.2777,0.7958,0.7129,0.5408,0.6475,0.5941,0.8465,0.6081,0.7273,0.8034,1.0411,0.9223
1.5,0.2904,0.7872,0.7233,0.5423,0.6547,0.5985,0.8566,0.5822,0.7194,0.8078,1.0529,0.9304
1.6,0.3031,0.7775,0.7377,0.5446,0.6619,0.6033,0.8628,0.5575,0.7101,0.8106,1.0603,0.9355
1.7,0.3149,0.7673,0.7551,0.5486,0.6691,0.6088,0.8657,0.5353,0.7005,0.8124,1.0636,0.938
1.8,0.3251,0.7568,0.7745,0.5548,0.6763,0.6155,0.8659,0.517,0.6914,0.8138,1.0634,0.9386
1.9,0.3328,0.7465,0.7947,0.563,0.684,0.6235,0.8638,0.5039,0.6838,0.8147,1.0599,0.9373
2,0.337,0.7373,0.8146,0.573,0.6931,0.633,0.8606,0.4969,0.6787,0.8156,1.0535,0.9346
2.1,0.3365,0.7297,0.8332,0.5849,0.704,0.6445,0.8574,0.4964,0.6769,0.8166,1.0442,0.9304
2.2,0.3303,0.7243,0.8491,0.5992,0.7172,0.6582,0.8548,0.5017,0.6782,0.8179,1.0319,0.9249
2.3,0.3186,0.7213,0.8614,0.6164,0.7328,0.6746,0.8528,0.511,0.6819,0.8198,1.0166,0.9182
2.4,0.3026,0.7212,0.8692,0.6366,0.7505,0.6935,0.8515,0.5227,0.6871,0.8221,0.9989,0.9105
2.5,0.2833,0.724,0.8724,0.6594,0.7697,0.7146,0.8506,0.5352,0.6929,0.8246,0.9793,0.902
2.6,0.2615,0.7295,0.8713,0.684,0.79,0.737,0.8498,0.5472,0.6985,0.8276,0.9587,0.8932
2.7,0.2375,0.7376,0.8668,0.7098,0.8105,0.7601,0.8487,0.558,0.7033,0.8311,0.938,0.8846
2.8,0.2125,0.7482,0.8593,0.7365,0.8305,0.7835,0.8467,0.5675,0.7071,0.8352,0.9178,0.8765
2.9,0.1871,0.761,0.8494,0.7638,0.8494,0.8066,0.8439,0.576,0.71,0.8393,0.8984,0.8689
3,0.1615,0.7756,0.8368,0.7912,0.8667,0.8289,0.8408,0.5837,0.7122,0.8435,0.8802,0.8618
3.1,0.1353,0.7916,0.8216,0.8173,0.882,0.8497,0.8376,0.591,0.7143,0.848,0.8633,0.8557
3.2,0.1083,0.8086,0.8036,0.8411,0.895,0.868,0.8339,0.5979,0.7159,0.8529,0.848,0.8504
3.3,0.0801,0.826,0.7829,0.8612,0.9052,0.8832,0.8283,0.6045,0.7164,0.8581,0.834,0.8461
3.4,0.0498,0.8429,0.7595,0.8763,0.9119,0.8941,0.8196,0.6102,0.7149,0.863,0.8209,0.8419
3.5,0.0162,0.8581,0.733,0.8854,0.9146,0.9,0.8081,0.6151,0.7116,0.8665,0.8082,0.8374
3.6,-0.0209,0.8713,0.7033,0.8884,0.9129,0.9007,0.7949,0.6193,0.7071,0.8684,0.796,0.8322
3.7,-0.0609,0.8827,0.6709,0.8859,0.9071,0.8965,0.7814,0.623,0.7022,0.8689,0.7841,0.8265
3.8,-0.1027,0.893,0.6367,0.8788,0.8973,0.8881,0.7675,0.626,0.6967,0.8682,0.7726,0.8204
3.9,-0.1449,0.9025,0.6021,0.8674,0.8841,0.8757,0.7525,0.6273,0.6899,0.8661,0.7611,0.8136
4,-0.1865,0.9112,0.5682,0.8519,0.868,0.8599,0.7359,0.6258,0.6809,0.8615,0.7487,0.8051
4.1,-0.2266,0.9186,0.5365,0.8326,0.8496,0.8411,0.7183,0.621,0.6697,0.8538,0.7347,0.7943
4.2,-0.2635,0.9242,0.5087,0.8107,0.8294,0.82,0.7005,0.6131,0.6568,0.8427,0.719,0.7809
4.3,-0.2945,0.9276,0.4861,0.7875,0.8078,0.7976,0.6829,0.6028,0.6428,0.8289,0.7023,0.7656
4.4,-0.3163,0.9282,0.4697,0.764,0.7849,0.7744,0.6651,0.591,0.628,0.8133,0.6853,0.7493
4.5,-0.3252,0.9252,0.4603,0.7402,0.7611,0.7507,0.6466,0.5776,0.6121,0.7968,0.6686,0.7327
4.6,-0.3186,0.9175,0.4581,0.7164,0.737,0.7267,0.6275,0.5623,0.5949,0.7798,0.6522,0.716
4.7,-0.2958,0.9049,0.4626,0.6931,0.7133,0.7032,0.6083,0.5448,0.5766,0.7623,0.6359,0.6991
