Time,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS,Lindt Chocolate 15 TVC - TS
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0372,0.4687,0.5708,0.4973,0.5156,0.5064,0.5822,0.5809,0.5816,0.6194,0.6269,0.6231
0.1,-0.0486,0.4633,0.5695,0.4818,0.5006,0.4912,0.5832,0.5769,0.5801,0.6242,0.6299,0.627
0.2,-0.0603,0.4613,0.5712,0.4678,0.4874,0.4776,0.5863,0.5757,0.581,0.6308,0.6346,0.6327
0.3,-0.0715,0.4632,0.576,0.4562,0.4768,0.4665,0.5918,0.5774,0.5846,0.6394,0.6413,0.6403
0.4,-0.0812,0.4687,0.5839,0.4476,0.469,0.4583,0.5993,0.5819,0.5906,0.6496,0.6499,0.6497
0.5,-0.0883,0.4772,0.5941,0.442,0.4636,0.4528,0.6085,0.5888,0.5987,0.661,0.6598,0.6604
0.6,-0.0921,0.4879,0.6061,0.4394,0.4602,0.4498,0.6187,0.5975,0.6081,0.6728,0.6704,0.6716
0.7,-0.0918,0.5004,0.6192,0.44,0.459,0.4495,0.6297,0.6075,0.6186,0.6848,0.6814,0.6831
0.8,-0.0869,0.5142,0.633,0.4439,0.4601,0.452,0.6411,0.6185,0.6298,0.6965,0.6927,0.6946
0.9,-0.0772,0.5289,0.6474,0.4513,0.4637,0.4575,0.6526,0.6301,0.6413,0.7077,0.7039,0.7058
1,-0.0624,0.5441,0.6617,0.4623,0.4697,0.466,0.6638,0.6419,0.6528,0.718,0.7144,0.7162
