Time,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC,Lotto Powerball - Imagine Lost 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.3295,0.6545,0.437,0.5512,0.5693,0.5603,0.5157,0.5808,0.5483,0.5954,0.3953,0.4953
0.1,-0.2979,0.6342,0.4164,0.5296,0.547,0.5383,0.5042,0.5664,0.5353,0.5992,0.4098,0.5045
0.2,-0.2581,0.6132,0.4013,0.5092,0.5271,0.5181,0.493,0.5543,0.5237,0.6048,0.4275,0.5162
0.3,-0.2127,0.5927,0.3919,0.4915,0.5103,0.5009,0.4825,0.5448,0.5137,0.6122,0.4478,0.53
0.4,-0.1653,0.5739,0.388,0.4772,0.4973,0.4873,0.473,0.5375,0.5052,0.621,0.4696,0.5453
0.5,-0.1191,0.5574,0.389,0.4665,0.4886,0.4776,0.4641,0.5314,0.4977,0.6304,0.4918,0.5611
0.6,-0.0766,0.5437,0.3941,0.4592,0.484,0.4716,0.4556,0.5256,0.4906,0.6401,0.5137,0.5769
0.7,-0.0385,0.533,0.4026,0.4555,0.483,0.4693,0.4476,0.5196,0.4836,0.6497,0.5345,0.5921
0.8,-0.0051,0.525,0.4143,0.4555,0.4851,0.4703,0.4406,0.5135,0.477,0.6589,0.5539,0.6064
0.9,0.0235,0.5193,0.4293,0.4584,0.4892,0.4738,0.4353,0.5078,0.4716,0.6675,0.5716,0.6196
1,0.0469,0.5152,0.4475,0.4637,0.4943,0.479,0.4316,0.5034,0.4675,0.6752,0.587,0.6311
1.1,0.0655,0.5125,0.4681,0.4711,0.4998,0.4855,0.4294,0.5,0.4647,0.6815,0.5994,0.6405
1.2,0.08,0.5115,0.4893,0.4811,0.5054,0.4933,0.4281,0.4972,0.4626,0.6861,0.6084,0.6473
1.3,0.0909,0.5121,0.509,0.4936,0.5104,0.502,0.4278,0.494,0.4609,0.6889,0.6137,0.6513
1.4,0.0973,0.5135,0.5254,0.5075,0.5137,0.5106,0.4288,0.4899,0.4594,0.6896,0.6155,0.6525
1.5,0.098,0.5146,0.5378,0.5215,0.5144,0.518,0.4312,0.4846,0.4579,0.6875,0.6141,0.6508
1.6,0.0933,0.5147,0.5458,0.5342,0.5124,0.5233,0.4343,0.4779,0.4561,0.682,0.6097,0.6458
1.7,0.0846,0.5135,0.5491,0.5446,0.508,0.5263,0.4373,0.4699,0.4536,0.6725,0.6024,0.6375
1.8,0.0723,0.5107,0.5475,0.552,0.5019,0.5269,0.4397,0.4605,0.4501,0.6595,0.5927,0.6261
1.9,0.0561,0.5062,0.5414,0.5557,0.4943,0.525,0.4413,0.4492,0.4453,0.6438,0.5811,0.6125
2,0.0352,0.4999,0.5313,0.5547,0.4852,0.52,0.442,0.4359,0.439,0.6262,0.5681,0.5971
2.1,0.01,0.4913,0.5182,0.5478,0.4743,0.511,0.4419,0.4204,0.4312,0.6074,0.5538,0.5806
2.2,-0.0167,0.4806,0.5029,0.5353,0.4613,0.4983,0.4411,0.4031,0.4221,0.588,0.5389,0.5635
2.3,-0.0419,0.4683,0.4869,0.5179,0.4468,0.4824,0.4396,0.3848,0.4122,0.5688,0.5242,0.5465
2.4,-0.0642,0.4551,0.4715,0.4969,0.4318,0.4644,0.4375,0.3668,0.4021,0.5505,0.5105,0.5305
2.5,-0.0836,0.442,0.4577,0.473,0.4175,0.4453,0.4349,0.3499,0.3924,0.5336,0.498,0.5158
2.6,-0.1003,0.4299,0.4457,0.4473,0.4049,0.4261,0.4317,0.3344,0.3831,0.518,0.4867,0.5023
2.7,-0.1138,0.4193,0.4358,0.421,0.3947,0.4078,0.4281,0.3206,0.3744,0.5033,0.4763,0.4898
2.8,-0.1238,0.4103,0.4284,0.3955,0.3871,0.3913,0.4244,0.3091,0.3668,0.4899,0.467,0.4785
2.9,-0.1312,0.4026,0.4241,0.3725,0.3824,0.3774,0.4211,0.3004,0.3607,0.4782,0.4595,0.4688
3,-0.1368,0.3961,0.4226,0.3533,0.3804,0.3669,0.4183,0.295,0.3567,0.4682,0.454,0.4611
3.1,-0.1404,0.391,0.4228,0.3388,0.3804,0.3596,0.4163,0.2925,0.3544,0.4598,0.45,0.4549
3.2,-0.1409,0.3876,0.4233,0.3296,0.3816,0.3556,0.415,0.2924,0.3537,0.4526,0.4471,0.4499
3.3,-0.1375,0.3862,0.4229,0.3266,0.3832,0.3549,0.4146,0.2941,0.3544,0.4469,0.4449,0.4459
3.4,-0.1308,0.3874,0.4214,0.331,0.3855,0.3582,0.4154,0.2976,0.3565,0.4426,0.4431,0.4429
3.5,-0.1225,0.3914,0.4193,0.3431,0.3889,0.366,0.4173,0.3028,0.36,0.4399,0.4415,0.4407
