Time,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0207,0.1506,0.5231,0.5237,0.3776,0.4507,0.5304,0.7496,0.64,0.5482,0.5008,0.5245
0.1,-0.0105,0.1405,0.5327,0.5146,0.3787,0.4466,0.4992,0.727,0.6131,0.537,0.496,0.5165
0.2,-0.0441,0.13,0.5394,0.5004,0.3797,0.44,0.4669,0.7058,0.5863,0.5247,0.4931,0.5089
0.3,-0.0778,0.1207,0.5429,0.4831,0.3806,0.4319,0.4342,0.6864,0.5603,0.5115,0.4914,0.5014
0.4,-0.109,0.1134,0.5429,0.4647,0.3818,0.4232,0.4021,0.6688,0.5354,0.4977,0.4907,0.4942
0.5,-0.1362,0.1091,0.5392,0.4469,0.3838,0.4153,0.3716,0.653,0.5123,0.4839,0.4907,0.4873
0.6,-0.1591,0.1083,0.5321,0.431,0.3875,0.4093,0.3437,0.639,0.4914,0.4703,0.492,0.4811
0.7,-0.1772,0.1111,0.5223,0.4186,0.3937,0.4062,0.3197,0.6274,0.4735,0.4574,0.4947,0.476
0.8,-0.1891,0.118,0.5103,0.4118,0.4032,0.4075,0.3007,0.6182,0.4595,0.4459,0.499,0.4725
0.9,-0.1932,0.1298,0.4976,0.4125,0.4166,0.4146,0.2877,0.6118,0.4497,0.4367,0.5052,0.471
