Time,Menulog - Katy Perry 30 TVC,Menulog - Katy Perry 30 TVC,Menulog - Katy Perry 30 TVC,Menulog - Katy Perry 30 TVC,Menulog - Katy Perry 30 TVC,Menulog - Katy Perry 30 TVC,Menulog - Katy Perry 30 TVC,Menulog - Katy Perry 30 TVC,Menulog - Katy Perry 30 TVC,Menulog - Katy Perry 30 TVC,Menulog - Katy Perry 30 TVC,Menulog - Katy Perry 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.4461,0.4222,0.792,0.0614,0.418,0.2397,0.3844,0.4788,0.4316,0.6451,0.7137,0.6794
0.1,-0.5014,0.4103,0.7791,0.0316,0.4393,0.2355,0.3601,0.484,0.422,0.6325,0.7236,0.678
0.2,-0.5501,0.4003,0.769,0.0084,0.4629,0.2357,0.3374,0.4929,0.4151,0.6177,0.7329,0.6753
0.3,-0.5897,0.3924,0.7604,-0.0077,0.4887,0.2405,0.3162,0.5049,0.4105,0.6013,0.7418,0.6716
0.4,-0.6192,0.3869,0.7525,-0.0167,0.5173,0.2503,0.2961,0.5199,0.408,0.5847,0.7505,0.6676
0.5,-0.6393,0.3837,0.7455,-0.0181,0.5492,0.2656,0.2771,0.5384,0.4078,0.5689,0.7592,0.664
0.6,-0.6514,0.3823,0.7395,-0.0118,0.5844,0.2863,0.2596,0.5604,0.41,0.5551,0.7675,0.6613
0.7,-0.6562,0.3821,0.7347,0.002,0.6219,0.3119,0.2445,0.5853,0.4149,0.5432,0.7743,0.6588
0.8,-0.6517,0.3824,0.7307,0.0236,0.6607,0.3422,0.2334,0.6122,0.4228,0.5336,0.7789,0.6562
0.9,-0.6339,0.3829,0.7278,0.0545,0.6997,0.3771,0.2281,0.6404,0.4342,0.527,0.7816,0.6543
1,-0.5996,0.3834,0.7258,0.0949,0.7379,0.4164,0.229,0.6689,0.449,0.5252,0.7833,0.6543
1.1,-0.5494,0.3832,0.725,0.1433,0.7739,0.4586,0.2357,0.6964,0.466,0.5296,0.7849,0.6572
1.2,-0.4873,0.3819,0.7255,0.1959,0.8061,0.501,0.2465,0.7207,0.4836,0.5408,0.7871,0.6639
1.3,-0.4182,0.3791,0.7269,0.2485,0.8331,0.5408,0.2594,0.7394,0.4994,0.5585,0.7901,0.6743
1.4,-0.3465,0.3746,0.7285,0.2982,0.8531,0.5756,0.2723,0.7502,0.5112,0.5803,0.7934,0.6869
1.5,-0.2751,0.3679,0.7291,0.3433,0.8643,0.6038,0.2828,0.7519,0.5174,0.6032,0.7956,0.6994
1.6,-0.2061,0.3586,0.7279,0.3825,0.8651,0.6238,0.2891,0.7443,0.5167,0.6241,0.7951,0.7096
1.7,-0.1417,0.3466,0.7246,0.4141,0.8543,0.6342,0.2898,0.7276,0.5087,0.6414,0.791,0.7162
1.8,-0.0836,0.3325,0.7199,0.4371,0.8322,0.6346,0.2843,0.7023,0.4933,0.6546,0.7835,0.719
1.9,-0.0326,0.3177,0.714,0.4513,0.8002,0.6258,0.2733,0.6687,0.471,0.664,0.7729,0.7184
2,0.0111,0.3036,0.7071,0.4574,0.7608,0.6091,0.2575,0.6276,0.4425,0.6697,0.7602,0.7149
2.1,0.047,0.2909,0.6983,0.4562,0.7161,0.5861,0.238,0.5799,0.4089,0.6719,0.7457,0.7088
2.2,0.0753,0.2795,0.687,0.4487,0.668,0.5584,0.2161,0.5271,0.3716,0.6702,0.7294,0.6998
