Time,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS,Nab Credit Card 15 TVC - TS
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1982,0.437,0.4458,0.7762,0.3695,0.5729,0.6085,0.5157,0.5621,0.5457,0.6048,0.5753
0.1,0.2108,0.4301,0.4465,0.776,0.3759,0.5759,0.616,0.513,0.5645,0.5577,0.6122,0.585
0.2,0.2194,0.4233,0.4506,0.7774,0.384,0.5807,0.6247,0.5134,0.5691,0.5715,0.6206,0.5961
0.3,0.2229,0.4173,0.458,0.7809,0.3945,0.5877,0.6343,0.5171,0.5757,0.5865,0.6298,0.6081
0.4,0.2215,0.4128,0.4682,0.7868,0.407,0.5969,0.6443,0.5243,0.5843,0.602,0.6393,0.6207
0.5,0.2167,0.4102,0.4807,0.7942,0.4206,0.6074,0.6546,0.5347,0.5946,0.6176,0.6488,0.6332
0.6,0.2095,0.4092,0.495,0.8022,0.4343,0.6183,0.6645,0.548,0.6062,0.6326,0.658,0.6453
0.7,0.2004,0.4097,0.5103,0.8105,0.4476,0.6291,0.6735,0.5632,0.6184,0.6462,0.6662,0.6562
0.8,0.1894,0.4118,0.5259,0.8188,0.4602,0.6395,0.6813,0.5795,0.6304,0.6578,0.6726,0.6652
0.9,0.1768,0.4156,0.5408,0.8271,0.4718,0.6495,0.6876,0.5957,0.6417,0.667,0.6767,0.6719
1,0.1637,0.421,0.5546,0.8356,0.4821,0.6588,0.6926,0.6113,0.6519,0.6736,0.6785,0.676
1.1,0.151,0.4279,0.5668,0.8444,0.4908,0.6676,0.6962,0.6259,0.6611,0.6778,0.6779,0.6779
1.2,0.139,0.4359,0.5776,0.8536,0.4982,0.6759,0.6984,0.6395,0.6689,0.6796,0.6754,0.6775
1.3,0.1272,0.4448,0.5869,0.8631,0.5048,0.684,0.6991,0.6518,0.6755,0.6791,0.6712,0.6751
1.4,0.1149,0.4546,0.5946,0.8729,0.5111,0.692,0.698,0.6626,0.6803,0.6763,0.6655,0.6709
1.5,0.1016,0.4654,0.6008,0.8825,0.5169,0.6997,0.6948,0.6715,0.6832,0.6714,0.6587,0.665
1.6,0.0875,0.4772,0.6056,0.8915,0.5226,0.707,0.6896,0.6786,0.6841,0.6644,0.651,0.6577
1.7,0.0729,0.4901,0.6092,0.8993,0.528,0.7136,0.6823,0.6838,0.6831,0.6555,0.6427,0.6491
1.8,0.058,0.5036,0.6113,0.9051,0.5331,0.7191,0.6734,0.687,0.6802,0.6447,0.6334,0.6391
1.9,0.043,0.5172,0.6118,0.9084,0.5379,0.7232,0.663,0.6882,0.6756,0.6322,0.6231,0.6276
2,0.0282,0.5306,0.6103,0.909,0.5422,0.7256,0.6515,0.6873,0.6694,0.6184,0.6115,0.6149
2.1,0.0147,0.5431,0.6068,0.9066,0.5458,0.7262,0.6394,0.6845,0.6619,0.6036,0.5989,0.6012
2.2,0.0039,0.5544,0.6016,0.9013,0.5485,0.7249,0.6272,0.6801,0.6536,0.5883,0.5855,0.5869
