Time,Mitsubishi Triton 10Play Comp 15 TVC,Mitsubishi Triton 10Play Comp 15 TVC,Mitsubishi Triton 10Play Comp 15 TVC,Mitsubishi Triton 10Play Comp 15 TVC,Mitsubishi Triton 10Play Comp 15 TVC,Mitsubishi Triton 10Play Comp 15 TVC,Mitsubishi Triton 10Play Comp 15 TVC,Mitsubishi Triton 10Play Comp 15 TVC,Mitsubishi Triton 10Play Comp 15 TVC,Mitsubishi Triton 10Play Comp 15 TVC,Mitsubishi Triton 10Play Comp 15 TVC,Mitsubishi Triton 10Play Comp 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.2275,0.627,0.5307,0.4859,0.5906,0.5382,0.756,0.597,0.6765,0.42,0.6243,0.5221
0.1,0.3096,0.6678,0.5409,0.5105,0.5994,0.555,0.7536,0.5934,0.6735,0.4148,0.62,0.5174
0.2,0.3822,0.7033,0.5485,0.5335,0.6046,0.5691,0.7513,0.5897,0.6705,0.4097,0.6163,0.513
0.3,0.443,0.7323,0.5544,0.5545,0.6051,0.5798,0.7492,0.5857,0.6675,0.4053,0.6134,0.5094
0.4,0.4905,0.7546,0.5599,0.5738,0.6005,0.5872,0.7479,0.5826,0.6653,0.4027,0.6119,0.5073
0.5,0.5239,0.7701,0.5656,0.5918,0.5911,0.5915,0.748,0.5816,0.6648,0.4027,0.6123,0.5075
0.6,0.5448,0.779,0.5707,0.6085,0.5769,0.5927,0.7497,0.5832,0.6664,0.4052,0.6148,0.51
0.7,0.5555,0.7807,0.5738,0.6239,0.557,0.5904,0.7527,0.5866,0.6696,0.4097,0.6192,0.5145
0.8,0.5571,0.7755,0.5743,0.6376,0.5312,0.5844,0.7568,0.591,0.6739,0.4158,0.6248,0.5203
0.9,0.5489,0.7639,0.5728,0.65,0.5004,0.5752,0.7623,0.5962,0.6793,0.4234,0.6311,0.5273
1,0.53,0.747,0.5701,0.661,0.4653,0.5631,0.7691,0.6029,0.686,0.4332,0.6382,0.5357
1.1,0.5004,0.7253,0.567,0.6702,0.4274,0.5488,0.7766,0.6114,0.694,0.4454,0.646,0.5457
1.2,0.4616,0.6995,0.5639,0.6771,0.3883,0.5327,0.7838,0.6214,0.7026,0.4596,0.6545,0.5571
1.3,0.4154,0.6703,0.5612,0.6815,0.3502,0.5158,0.7897,0.6323,0.711,0.4748,0.6631,0.569
1.4,0.3634,0.6392,0.5598,0.6837,0.3154,0.4996,0.7946,0.6436,0.7191,0.4902,0.671,0.5806
1.5,0.307,0.6077,0.56,0.6844,0.2858,0.4851,0.7985,0.6553,0.7269,0.505,0.6773,0.5912
1.6,0.2473,0.5773,0.5617,0.684,0.2616,0.4728,0.8014,0.6672,0.7343,0.5187,0.6811,0.5999
1.7,0.1855,0.5492,0.5642,0.6825,0.2425,0.4625,0.803,0.6786,0.7408,0.5307,0.6819,0.6063
1.8,0.1242,0.5245,0.5667,0.6799,0.2281,0.454,0.8034,0.689,0.7462,0.5405,0.6797,0.6101
1.9,0.0661,0.5041,0.5684,0.6769,0.2183,0.4476,0.8024,0.6983,0.7503,0.5481,0.6748,0.6114
2,0.0137,0.4888,0.5693,0.6745,0.2137,0.4441,0.8003,0.7069,0.7536,0.5531,0.6678,0.6104
2.1,-0.0312,0.4782,0.5697,0.6737,0.2147,0.4442,0.7972,0.715,0.7561,0.5551,0.6592,0.6072
2.2,-0.0671,0.4715,0.5699,0.6744,0.2214,0.4479,0.7931,0.7224,0.7578,0.5542,0.6495,0.6018
2.3,-0.0927,0.4676,0.5696,0.6755,0.2324,0.454,0.7883,0.728,0.7582,0.5504,0.6392,0.5948
2.4,-0.1072,0.4659,0.5681,0.6759,0.2466,0.4613,0.7832,0.731,0.7571,0.5442,0.6286,0.5864
2.5,-0.1105,0.4668,0.5652,0.6761,0.2631,0.4696,0.778,0.7314,0.7547,0.5361,0.6181,0.5771
2.6,-0.1021,0.4716,0.5613,0.6777,0.2814,0.4796,0.7733,0.73,0.7517,0.5266,0.6083,0.5674
2.7,-0.0816,0.4809,0.5575,0.6823,0.3011,0.4917,0.7688,0.7277,0.7482,0.5163,0.5997,0.558
2.8,-0.0498,0.4948,0.5547,0.6906,0.3211,0.5059,0.7637,0.7242,0.744,0.5054,0.5929,0.5492
2.9,-0.0094,0.5123,0.5527,0.7021,0.3406,0.5213,0.7575,0.7189,0.7382,0.4944,0.5882,0.5413
3,0.0358,0.5322,0.5506,0.715,0.3588,0.5369,0.7498,0.711,0.7304,0.4833,0.5852,0.5343
3.1,0.0824,0.5537,0.5474,0.728,0.3758,0.5519,0.7403,0.7006,0.7205,0.4726,0.5835,0.528
3.2,0.1279,0.5764,0.5432,0.7399,0.392,0.566,0.7287,0.6878,0.7082,0.4626,0.5822,0.5224
3.3,0.1698,0.5997,0.5383,0.7502,0.408,0.5791,0.7142,0.6724,0.6933,0.454,0.5812,0.5176
3.4,0.2059,0.6228,0.5326,0.7586,0.4242,0.5914,0.6962,0.6543,0.6753,0.4472,0.5807,0.514
3.5,0.2345,0.6447,0.526,0.7656,0.441,0.6033,0.6747,0.6338,0.6542,0.4425,0.5809,0.5117
3.6,0.2549,0.6647,0.5185,0.7718,0.4593,0.6155,0.6505,0.6116,0.631,0.4404,0.5821,0.5113
3.7,0.2675,0.6829,0.5103,0.7777,0.4803,0.629,0.6247,0.5893,0.607,0.4415,0.5847,0.5131
3.8,0.2738,0.6997,0.5021,0.7833,0.5047,0.644,0.5984,0.5681,0.5833,0.4455,0.5884,0.517
3.9,0.2759,0.7155,0.4941,0.788,0.5327,0.6603,0.5722,0.5484,0.5603,0.4516,0.5928,0.5222
4,0.2752,0.7303,0.4861,0.7917,0.5635,0.6776,0.5468,0.5296,0.5382,0.459,0.5973,0.5281
4.1,0.2721,0.7443,0.4789,0.7948,0.5964,0.6956,0.5236,0.5123,0.518,0.4673,0.602,0.5347
4.2,0.2663,0.7583,0.4742,0.798,0.6308,0.7144,0.5042,0.4978,0.501,0.477,0.6074,0.5422
4.3,0.2587,0.7731,0.4739,0.802,0.6666,0.7343,0.4893,0.4875,0.4884,0.4884,0.6143,0.5513
4.4,0.2512,0.789,0.4792,0.807,0.7036,0.7553,0.4789,0.482,0.4805,0.5016,0.6237,0.5627
4.5,0.2463,0.8059,0.4904,0.8128,0.7411,0.7769,0.4726,0.4811,0.4769,0.516,0.636,0.576
4.6,0.2455,0.8233,0.5076,0.8194,0.7782,0.7988,0.47,0.4842,0.4771,0.5307,0.6508,0.5908
4.7,0.2493,0.8407,0.5308,0.8271,0.814,0.8205,0.471,0.4913,0.4811,0.5453,0.6673,0.6063
4.8,0.2575,0.8578,0.5596,0.8355,0.8476,0.8415,0.4759,0.5025,0.4892,0.5594,0.685,0.6222
4.9,0.2694,0.8741,0.5924,0.844,0.8784,0.8612,0.4841,0.5174,0.5007,0.5728,0.7032,0.638
5,0.2837,0.8892,0.6265,0.852,0.9055,0.8787,0.4952,0.5349,0.515,0.5851,0.7214,0.6532
5.1,0.2996,0.9022,0.6595,0.8585,0.9275,0.893,0.5084,0.5537,0.5311,0.5955,0.7385,0.667
5.2,0.3162,0.9119,0.6896,0.8629,0.9434,0.9032,0.5229,0.5727,0.5478,0.6039,0.7532,0.6786
5.3,0.3321,0.9172,0.7158,0.864,0.9523,0.9082,0.5372,0.5911,0.5641,0.6097,0.7647,0.6872
5.4,0.3449,0.9171,0.7372,0.8605,0.9537,0.9071,0.5503,0.6079,0.5791,0.6128,0.7722,0.6925
5.5,0.3521,0.9108,0.7526,0.851,0.9473,0.8991,0.5617,0.6219,0.5918,0.6135,0.7758,0.6947
5.6,0.3531,0.8984,0.7615,0.8345,0.9325,0.8835,0.5708,0.6321,0.6015,0.6131,0.7751,0.6941
5.7,0.3492,0.8801,0.7636,0.8111,0.9092,0.8602,0.5773,0.6382,0.6078,0.6121,0.77,0.691
5.8,0.3429,0.8567,0.7591,0.7819,0.8781,0.83,0.5804,0.6404,0.6104,0.6109,0.7604,0.6857
5.9,0.3358,0.829,0.7483,0.7489,0.8406,0.7947,0.5798,0.639,0.6094,0.6099,0.7469,0.6784
6,0.3282,0.7978,0.7317,0.7136,0.7989,0.7562,0.5758,0.6348,0.6053,0.609,0.7302,0.6696
