Time,NAB - Experts in more than money 30 TVC,NAB - Experts in more than money 30 TVC,NAB - Experts in more than money 30 TVC,NAB - Experts in more than money 30 TVC,NAB - Experts in more than money 30 TVC,NAB - Experts in more than money 30 TVC,NAB - Experts in more than money 30 TVC,NAB - Experts in more than money 30 TVC,NAB - Experts in more than money 30 TVC,NAB - Experts in more than money 30 TVC,NAB - Experts in more than money 30 TVC,NAB - Experts in more than money 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.067,0.2661,0.3653,0.2444,0.2186,0.2315,0.2216,0.2917,0.2567,0.4382,0.3905,0.4144
0.1,0.0627,0.2717,0.3537,0.2527,0.2564,0.2545,0.2253,0.2884,0.2569,0.4295,0.387,0.4082
0.2,0.0519,0.2779,0.3432,0.2622,0.2896,0.2759,0.229,0.2845,0.2567,0.4238,0.3849,0.4043
0.3,0.0362,0.285,0.3348,0.2736,0.319,0.2963,0.2329,0.2805,0.2567,0.4214,0.3846,0.403
0.4,0.0169,0.2932,0.3295,0.2867,0.3453,0.316,0.2372,0.2769,0.257,0.4225,0.3865,0.4045
0.5,-0.0052,0.3024,0.3276,0.3009,0.3697,0.3353,0.2416,0.2742,0.2579,0.4262,0.3905,0.4083
0.6,-0.0299,0.3122,0.3287,0.3158,0.3929,0.3544,0.2457,0.2724,0.259,0.4314,0.3959,0.4137
0.7,-0.0567,0.3225,0.3325,0.3308,0.4153,0.373,0.249,0.2713,0.2602,0.4369,0.4022,0.4195
0.8,-0.0851,0.3333,0.339,0.3452,0.4373,0.3913,0.2515,0.2709,0.2612,0.4421,0.4092,0.4256
0.9,-0.1129,0.3444,0.3486,0.3588,0.4595,0.4092,0.2536,0.2706,0.2621,0.447,0.4174,0.4322
1,-0.1382,0.3559,0.3613,0.372,0.4826,0.4273,0.2557,0.2698,0.2628,0.452,0.4273,0.4396
1.1,-0.1591,0.368,0.3767,0.3851,0.5074,0.4462,0.2581,0.2684,0.2633,0.4571,0.4387,0.4479
1.2,-0.175,0.3812,0.3939,0.3987,0.5342,0.4665,0.2607,0.2663,0.2635,0.4621,0.4508,0.4565
1.3,-0.1854,0.3955,0.4123,0.4127,0.5629,0.4878,0.2629,0.2637,0.2633,0.4665,0.4632,0.4648
1.4,-0.1898,0.4106,0.4317,0.4265,0.5924,0.5094,0.2642,0.261,0.2626,0.47,0.4755,0.4728
1.5,-0.1879,0.4258,0.4524,0.4394,0.6208,0.5301,0.2642,0.2586,0.2614,0.4727,0.4878,0.4802
