Time,Neds Level 30 TVC,Neds Level 30 TVC,Neds Level 30 TVC,Neds Level 30 TVC,Neds Level 30 TVC,Neds Level 30 TVC,Neds Level 30 TVC,Neds Level 30 TVC,Neds Level 30 TVC,Neds Level 30 TVC,Neds Level 30 TVC,Neds Level 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0195,0.5723,0.4434,0.8353,0.3945,0.6149,0.6573,0.5472,0.6022,0.9239,0.6643,0.7941
0.1,-0.0017,0.5563,0.4558,0.7822,0.4001,0.5911,0.6299,0.5439,0.5869,0.9198,0.6681,0.7939
0.2,-0.0226,0.5388,0.467,0.7231,0.4068,0.565,0.6004,0.5401,0.5703,0.9124,0.6708,0.7916
0.3,-0.0419,0.5206,0.4773,0.661,0.4142,0.5376,0.5698,0.5353,0.5526,0.9014,0.6726,0.787
0.4,-0.0587,0.5019,0.4869,0.5987,0.4212,0.5099,0.5395,0.5298,0.5347,0.8874,0.6735,0.7805
0.5,-0.0735,0.4833,0.497,0.5394,0.4274,0.4834,0.5115,0.5248,0.5181,0.871,0.6736,0.7723
0.6,-0.0876,0.4656,0.5079,0.4863,0.4337,0.46,0.4871,0.5214,0.5042,0.8532,0.6731,0.7631
0.7,-0.1015,0.4503,0.52,0.4423,0.4414,0.4419,0.4676,0.52,0.4938,0.834,0.6717,0.7528
0.8,-0.1143,0.4387,0.5332,0.4099,0.4511,0.4305,0.4539,0.5207,0.4873,0.813,0.6689,0.7409
0.9,-0.1247,0.432,0.5469,0.3903,0.4632,0.4268,0.4465,0.5231,0.4848,0.7899,0.6638,0.7268
1,-0.132,0.4307,0.5611,0.3835,0.4779,0.4307,0.4454,0.527,0.4862,0.7649,0.6561,0.7105
1.1,-0.1362,0.435,0.5752,0.3888,0.4951,0.4419,0.45,0.5325,0.4913,0.7389,0.646,0.6925
1.2,-0.1373,0.4446,0.5894,0.4051,0.5149,0.46,0.4594,0.54,0.4997,0.7129,0.6341,0.6735
1.3,-0.1341,0.4593,0.6039,0.4304,0.5367,0.4835,0.4726,0.5498,0.5112,0.6871,0.6212,0.6541
1.4,-0.1249,0.4783,0.6188,0.4628,0.5596,0.5112,0.489,0.5614,0.5252,0.6618,0.6075,0.6347
1.5,-0.1081,0.5,0.6332,0.5002,0.5826,0.5414,0.508,0.5742,0.5411,0.6375,0.5934,0.6154
1.6,-0.0839,0.5227,0.646,0.5401,0.6047,0.5724,0.5285,0.5866,0.5575,0.6147,0.5789,0.5968
1.7,-0.054,0.5443,0.6556,0.5798,0.6253,0.6026,0.5491,0.5973,0.5732,0.5942,0.5642,0.5792
1.8,-0.0208,0.5639,0.6615,0.6174,0.6438,0.6306,0.5692,0.6055,0.5874,0.5766,0.55,0.5633
1.9,0.0137,0.5811,0.6641,0.6509,0.6602,0.6555,0.5884,0.6114,0.5999,0.5624,0.5373,0.5499
2,0.0475,0.5958,0.664,0.6785,0.674,0.6762,0.6067,0.6152,0.611,0.552,0.5269,0.5395
2.1,0.0795,0.6083,0.6617,0.6989,0.6852,0.6921,0.6241,0.6175,0.6208,0.5454,0.5195,0.5324
2.2,0.1084,0.6185,0.6583,0.7117,0.694,0.7028,0.6399,0.6184,0.6292,0.5426,0.5149,0.5287
2.3,0.1334,0.6265,0.6543,0.7169,0.7009,0.7089,0.6534,0.618,0.6357,0.5429,0.5127,0.5278
2.4,0.1541,0.6322,0.6502,0.7152,0.7058,0.7105,0.6638,0.6163,0.6401,0.5454,0.5127,0.529
2.5,0.1709,0.6352,0.6462,0.7073,0.7081,0.7077,0.6711,0.6138,0.6424,0.5495,0.5146,0.5321
2.6,0.1844,0.6358,0.6419,0.6944,0.7075,0.701,0.6755,0.6108,0.6432,0.5549,0.5184,0.5366
2.7,0.1951,0.6346,0.6372,0.6782,0.7044,0.6913,0.6779,0.6076,0.6428,0.5611,0.5237,0.5424
2.8,0.2042,0.6325,0.632,0.6607,0.6999,0.6803,0.679,0.6047,0.6419,0.568,0.5301,0.5491
2.9,0.2125,0.6306,0.6266,0.6434,0.6951,0.6692,0.6795,0.6025,0.641,0.5755,0.5372,0.5564
3,0.2205,0.629,0.6212,0.6275,0.6902,0.6589,0.6799,0.6013,0.6406,0.5838,0.5448,0.5643
3.1,0.2282,0.6274,0.6156,0.6133,0.6848,0.6491,0.6806,0.6013,0.6409,0.5928,0.5525,0.5726
3.2,0.2351,0.6254,0.6092,0.6006,0.6785,0.6395,0.6822,0.6025,0.6424,0.6019,0.56,0.581
3.3,0.2403,0.6236,0.602,0.5897,0.6714,0.6306,0.6849,0.6052,0.6451,0.6103,0.5671,0.5887
3.4,0.2431,0.6226,0.5944,0.581,0.6645,0.6227,0.6891,0.6096,0.6494,0.617,0.5738,0.5954
3.5,0.2433,0.6235,0.5869,0.5748,0.6583,0.6166,0.6952,0.6161,0.6556,0.6216,0.5806,0.6011
3.6,0.2408,0.6268,0.5804,0.5713,0.6527,0.612,0.7037,0.6251,0.6644,0.6245,0.5879,0.6062
3.7,0.2361,0.6324,0.5752,0.5702,0.6473,0.6087,0.7147,0.6366,0.6756,0.6261,0.5957,0.6109
3.8,0.2292,0.6401,0.5714,0.5712,0.6418,0.6065,0.7284,0.6507,0.6895,0.6268,0.6037,0.6153
3.9,0.2193,0.6496,0.5687,0.5745,0.6367,0.6056,0.7444,0.6674,0.7059,0.6265,0.6112,0.6188
4,0.2058,0.661,0.5661,0.5805,0.6332,0.6069,0.762,0.6867,0.7244,0.6246,0.6175,0.621
4.1,0.1881,0.6746,0.5624,0.5893,0.6323,0.6108,0.7802,0.7083,0.7442,0.6204,0.622,0.6212
4.2,0.1656,0.6898,0.557,0.6001,0.6342,0.6171,0.7979,0.7316,0.7648,0.6139,0.624,0.6189
4.3,0.1378,0.7057,0.5497,0.6115,0.6383,0.6249,0.8138,0.7563,0.7851,0.6057,0.6237,0.6147
4.4,0.1046,0.7206,0.5415,0.6212,0.644,0.6326,0.827,0.7821,0.8046,0.597,0.6216,0.6093
4.5,0.0667,0.7331,0.5333,0.6279,0.6499,0.6389,0.8369,0.8082,0.8226,0.5885,0.6187,0.6036
