Time,Okana - Berries 15 TVC,Okana - Berries 15 TVC,Okana - Berries 15 TVC,Okana - Berries 15 TVC,Okana - Berries 15 TVC,Okana - Berries 15 TVC,Okana - Berries 15 TVC,Okana - Berries 15 TVC,Okana - Berries 15 TVC,Okana - Berries 15 TVC,Okana - Berries 15 TVC,Okana - Berries 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1158,0.725,0.8109,0.6431,1.3134,0.9783,0.5063,0.8486,0.6774,0.263,0.697,0.48
0.1,0.0806,0.6949,0.8001,0.6105,1.3062,0.9583,0.472,0.8384,0.6552,0.2601,0.6893,0.4747
0.2,0.0527,0.6648,0.786,0.5795,1.2936,0.9366,0.4407,0.8279,0.6343,0.2592,0.6822,0.4707
0.3,0.0321,0.6357,0.7674,0.5501,1.276,0.913,0.4121,0.8163,0.6142,0.2597,0.6754,0.4675
0.4,0.0202,0.6077,0.7432,0.5223,1.2531,0.8877,0.3863,0.8025,0.5944,0.2611,0.668,0.4646
0.5,0.0185,0.5802,0.7128,0.4965,1.2242,0.8604,0.3638,0.7852,0.5745,0.2628,0.6598,0.4613
0.6,0.0272,0.5527,0.6776,0.473,1.1887,0.8308,0.3453,0.7644,0.5549,0.2644,0.6511,0.4578
0.7,0.0445,0.5257,0.6392,0.452,1.1461,0.7991,0.331,0.7402,0.5356,0.266,0.6424,0.4542
0.8,0.0676,0.5003,0.5993,0.4341,1.0971,0.7656,0.3211,0.7131,0.5171,0.267,0.6332,0.4501
0.9,0.0931,0.4777,0.5593,0.4201,1.0425,0.7313,0.3157,0.684,0.4998,0.2662,0.6226,0.4444
1,0.1174,0.4589,0.5212,0.4108,0.9841,0.6974,0.3149,0.655,0.485,0.2632,0.6096,0.4364
1.1,0.1389,0.4444,0.4871,0.406,0.9237,0.6648,0.3183,0.6285,0.4734,0.2583,0.5943,0.4263
1.2,0.158,0.4334,0.4582,0.4042,0.8632,0.6337,0.3247,0.6053,0.465,0.2523,0.5773,0.4148
1.3,0.1752,0.425,0.4344,0.4035,0.8041,0.6038,0.3328,0.5862,0.4595,0.2457,0.5581,0.4019
1.4,0.1905,0.4183,0.4152,0.403,0.748,0.5755,0.3415,0.5714,0.4564,0.2392,0.5362,0.3877
1.5,0.2032,0.4135,0.4003,0.4029,0.6967,0.5498,0.3503,0.5612,0.4557,0.2331,0.5116,0.3723
1.6,0.2115,0.4106,0.39,0.4034,0.6517,0.5276,0.359,0.5556,0.4573,0.2276,0.4855,0.3566
1.7,0.2143,0.4099,0.3843,0.4047,0.6142,0.5094,0.3667,0.5542,0.4605,0.2233,0.4597,0.3415
1.8,0.2112,0.4115,0.3825,0.407,0.5841,0.4956,0.3728,0.5559,0.4643,0.2203,0.4357,0.328
1.9,0.2023,0.4155,0.3837,0.4103,0.5608,0.4855,0.3767,0.5593,0.468,0.2192,0.414,0.3166
2,0.1885,0.4213,0.387,0.4144,0.5432,0.4788,0.3779,0.5632,0.4706,0.2203,0.3953,0.3078
