Time,Pepsi - Pepsiverse Phones Have More Than One Life 15 TVC,Pepsi - Pepsiverse Phones Have More Than One Life 15 TVC,Pepsi - Pepsiverse Phones Have More Than One Life 15 TVC,Pepsi - Pepsiverse Phones Have More Than One Life 15 TVC,Pepsi - Pepsiverse Phones Have More Than One Life 15 TVC,Pepsi - Pepsiverse Phones Have More Than One Life 15 TVC,Pepsi - Pepsiverse Phones Have More Than One Life 15 TVC,Pepsi - Pepsiverse Phones Have More Than One Life 15 TVC,Pepsi - Pepsiverse Phones Have More Than One Life 15 TVC,Pepsi - Pepsiverse Phones Have More Than One Life 15 TVC,Pepsi - Pepsiverse Phones Have More Than One Life 15 TVC,Pepsi - Pepsiverse Phones Have More Than One Life 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0884,0.4284,0.632,0.5147,0.572,0.5434,0.6967,0.7514,0.724,0.5294,0.7091,0.6193
0.1,-0.1038,0.4249,0.6184,0.4922,0.5457,0.519,0.6772,0.726,0.7016,0.5424,0.7115,0.627
0.2,-0.1208,0.4246,0.607,0.4725,0.5251,0.4988,0.6556,0.7043,0.6799,0.5561,0.7148,0.6354
0.3,-0.1407,0.4282,0.5978,0.4562,0.5104,0.4833,0.633,0.6866,0.6598,0.5704,0.7193,0.6448
0.4,-0.1638,0.4356,0.5909,0.4432,0.5018,0.4725,0.6107,0.6729,0.6418,0.5853,0.7251,0.6552
0.5,-0.1901,0.4461,0.5863,0.4328,0.4986,0.4657,0.5897,0.6626,0.6262,0.6008,0.7323,0.6666
0.6,-0.2184,0.4587,0.5835,0.4236,0.4997,0.4617,0.5705,0.6548,0.6127,0.6166,0.7409,0.6787
0.7,-0.2469,0.4721,0.5822,0.4148,0.5041,0.4594,0.5534,0.6484,0.6009,0.6323,0.7512,0.6917
0.8,-0.274,0.4859,0.5822,0.406,0.5114,0.4587,0.5389,0.6425,0.5907,0.648,0.7639,0.7059
